,h,h_id,r,r_id,t,t_id,predicted_head,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,rank_filtered_anyburl,anyburl_confidence_anyburl,anyburl_confidence_kge,difference_psi
0,Q73437,3919,P1412,11,Q1860,39,False,1,1,1,1,1,1,1,0.38208254170148187,0.38208254170148187,1.0
1,Q73437,3919,P1412,11,Q1860,39,True,1162,1111,1649,1187,108,1755,6960,0.28231625508455926,0.5366339922272849,0.5260871640143653
2,Q355447,1211,P106,2,Q6430706,7345,False,26,33,22,17,27,30,68,0.13068304332177855,0.1306830433317636,0.9999999999235935
3,Q355447,1211,P106,2,Q6430706,7345,True,59,126,6,8,41,112,3726,0.09277635912884014,0.2810925180325842,0.3300563094962403
4,Q95076,14262,P106,2,Q10798782,337,False,2,2,2,2,2,2,2,0.4876783398184176,0.4876783398184176,1.0
5,Q95076,14262,P106,2,Q10798782,337,True,801,1236,1701,190,357,519,614,0.47058823529411764,0.3684210526315789,1.277310924369748
6,Q289752,16366,P106,2,Q822146,599,False,14,15,17,17,10,12,16,0.24590778277328731,0.24590778277328731,1.0
7,Q289752,16366,P106,2,Q822146,599,True,307,345,280,514,169,226,1173,0.24590195344970905,0.26584513718370295,0.9249819502238521
8,Q854,1742,P463,1,Q7785,4570,False,2,2,2,2,3,1,7,0.4545904575833272,0.5500274977981723,0.8264867836664689
9,Q854,1742,P463,1,Q7785,4570,True,19,27,31,6,13,19,63,0.45454545454545453,0.6714906915245961,0.6769199637204576
10,Q230739,413,P106,2,Q4853732,98,False,27,26,40,12,23,35,38,0.1306860354514179,0.13068603598506534,0.9999999959165689
11,Q230739,413,P106,2,Q4853732,98,True,2955,2545,3486,1557,2879,4309,,,0.17806588528678305,
12,Q5104,8676,P106,2,Q177220,485,False,1,1,1,1,1,1,1,0.8717948717948718,0.8717948717948718,1.0
13,Q5104,8676,P106,2,Q177220,485,True,31,43,26,42,18,25,27,0.7982167337472836,0.7982164213430791,1.0000003913778222
14,Q4149437,13857,P463,1,Q2370801,2933,False,1,1,1,1,1,1,4,0.19602199617788235,0.3346774193548387,0.5857042777363232
15,Q4149437,13857,P463,1,Q2370801,2933,True,48,66,37,31,56,48,252,0.1960219961779766,0.19920659419768547,0.9840135913545685
16,Q95356,12150,P106,2,Q2259451,21,False,2,1,3,3,2,2,4,0.38446969696969696,0.6322537112010796,0.6080940137770446
17,Q95356,12150,P106,2,Q2259451,21,True,1063,508,1704,1546,170,1388,127,0.38448787878787877,0.2709617191870667,1.418974901478374
18,Q434111,12127,P106,2,Q2405480,59,False,2,1,2,1,3,3,6,0.3071593533487298,0.5147826086956522,0.596677797890269
19,Q434111,12127,P106,2,Q2405480,59,True,844,529,444,703,697,1847,4461,0.13068483805268216,0.2658484797955112,0.49157639777817813
20,Q271956,15225,P106,2,Q81096,309,False,1,1,1,1,1,1,1,0.6559139784946236,0.6559139784946236,1.0
21,Q271956,15225,P106,2,Q81096,309,True,16,40,24,3,12,2,51,0.6559678097477291,0.7092315901360668,0.9248993119749234
22,Q298,2566,P361,39,Q653884,6410,False,1,1,1,1,1,1,1,0.22448979591836735,0.22448979591836735,1.0
23,Q298,2566,P361,39,Q653884,6410,True,1,1,1,1,1,1,1,0.22450734911113876,0.22450734911113876,1.0
24,Q1386948,10936,P27,3,Q30,31,False,1,1,1,1,1,1,1,0.9,0.9,1.0
25,Q1386948,10936,P27,3,Q30,31,True,29,29,38,27,36,17,2,0.9,0.8089999859826185,1.1124845681015088
26,Q203806,10711,P551,21,Q387047,4607,False,129,76,154,85,228,102,268,0.001995162109726203,0.007980748199507231,0.2499968749608456
27,Q203806,10711,P551,21,Q387047,4607,True,5501,4775,5727,2546,8497,5958,5248,0.0019951620947630923,0.00199501246882793,1.000075
28,Q11637,13762,P106,2,Q10798782,337,False,1,1,1,1,1,1,1,0.7553324968632371,0.7553324968632371,1.0
29,Q11637,13762,P106,2,Q10798782,337,True,61,36,9,13,230,17,56,0.7553741635299038,0.7553699968632371,1.000005516060585
30,Q162667,7121,P1050,32,Q11081,6254,False,6,8,9,5,4,5,2,0.002902757619738752,0.0013150684931506848,2.2073052733430094
31,Q162667,7121,P1050,32,Q11081,6254,True,4519,6354,6429,2998,5321,1493,,,,
32,Q153996,11762,P264,17,Q183387,789,False,3,4,6,1,2,1,1,0.07776049766718507,0.062111801242236024,1.2519440124416796
33,Q153996,11762,P264,17,Q183387,789,True,2184,3254,3846,1819,1130,871,735,0.07776149517341949,0.025413958151060182,3.059794728204333
34,Q92875,16494,P108,15,Q190080,3704,False,3,3,3,3,3,3,3,0.026436309426452368,0.026436309426452368,1.0
35,Q92875,16494,P108,15,Q190080,3704,True,30,39,41,26,22,20,1015,0.026436309426452368,0.03242194540149626,0.8153831949032997
36,Q884172,2899,P1303,14,Q17172850,288,False,1,1,1,1,1,1,1,0.8516642547033285,0.8516642547033285,1.0
37,Q884172,2899,P1303,14,Q17172850,288,True,943,1277,298,1140,654,1348,317,0.6653691322689405,0.49511511388748874,1.343867544346749
38,Q273055,8761,P106,2,Q2252262,1199,False,2,1,1,2,1,3,1,0.6558704453441295,0.6322537112010796,1.0373532550693703
39,Q273055,8761,P106,2,Q2252262,1199,True,19,24,14,15,7,35,13,0.6558965545591466,0.6558956185958278,1.0000014270004134
40,Q207592,7032,P106,2,Q10798782,337,False,1,1,2,1,1,1,2,0.6322537112010796,0.6962025316455697,0.908146239725187
41,Q207592,7032,P106,2,Q10798782,337,True,803,724,940,605,1081,666,341,0.52902352525144,0.36363636363636365,1.45481469444146
42,Q232520,8840,P106,2,Q28389,102,False,4,4,4,3,4,4,6,0.26586122237539345,0.2764227642276423,0.9617920691815703
43,Q232520,8840,P106,2,Q28389,102,True,1785,2124,2042,1043,2054,1664,2446,0.26584613549127256,0.2848252106298377,0.9333658874627129
44,Q102022,2155,P69,4,Q315658,4559,False,25,14,34,10,33,34,38,0.03491596009975062,0.044391870533665834,0.7865395100499564
45,Q102022,2155,P69,4,Q315658,4559,True,1391,892,2216,280,2174,1393,2230,0.03491596033418454,0.03890578564476445,0.8974490491720266
