,h,h_id,r,r_id,t,t_id,predicted_head,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,rank_filtered_anyburl,anyburl_confidence_anyburl,anyburl_confidence_kge,difference_psi
0,Q73437,3919,P1412,11,Q1860,39,False,1,1,1,1,1,1,1,0.38208254170148187,0.38208254170148187,1.0
1,Q73437,3919,P1412,11,Q1860,39,True,3108,2350,3773,2219,2989,4208,6960,0.28231625508455926,0.4863044345397162,0.5805339927688911
2,Q355447,1211,P106,2,Q6430706,7345,False,17,9,23,14,18,19,68,0.13068304332177855,0.13068442781934053,0.9999894057954334
3,Q355447,1211,P106,2,Q6430706,7345,True,37,11,60,9,35,71,3726,0.09277635912884014,0.3119556611243072,0.29740238979625655
4,Q95076,14262,P106,2,Q10798782,337,False,1,1,2,1,2,1,2,0.4876783398184176,0.6470588235294118,0.7536847069920999
5,Q95076,14262,P106,2,Q10798782,337,True,785,333,1149,836,834,772,614,0.47058823529411764,0.3801726669853951,1.2378276403342694
6,Q289752,16366,P106,2,Q822146,599,False,18,33,8,19,13,19,16,0.24590778277328731,0.2459077827732873,1.0000000000000002
7,Q289752,16366,P106,2,Q822146,599,True,1139,2526,305,896,502,1466,1173,0.24590195344970905,0.24590309349625936,0.9999953638381116
8,Q854,1742,P463,1,Q7785,4570,False,2,1,2,1,3,1,7,0.4545904575833272,0.5500274977981723,0.8264867836664689
9,Q854,1742,P463,1,Q7785,4570,True,3,4,5,2,4,2,63,0.45454545454545453,0.6715071968709256,0.6769033253307416
10,Q230739,413,P106,2,Q4853732,98,False,20,10,34,25,23,8,38,0.1306860354514179,0.15525554484088716,0.841747942628077
11,Q230739,413,P106,2,Q4853732,98,True,2406,1748,3641,2566,2786,1290,,,0.2199501246882793,
12,Q5104,8676,P106,2,Q177220,485,False,1,1,1,1,1,1,1,0.8717948717948718,0.8717948717948718,1.0
13,Q5104,8676,P106,2,Q177220,485,True,34,27,40,32,42,29,27,0.7982167337472836,0.7982157852350716,1.0000011882904718
14,Q4149437,13857,P463,1,Q2370801,2933,False,1,1,1,1,1,1,4,0.19602199617788235,0.3346774193548387,0.5857042777363232
15,Q4149437,13857,P463,1,Q2370801,2933,True,34,45,15,41,37,32,252,0.1960219961779766,0.1992065941976891,0.9840135913545505
16,Q95356,12150,P106,2,Q2259451,21,False,3,3,2,3,3,2,4,0.38446969696969696,0.4623493975903614,0.8315566084295726
17,Q95356,12150,P106,2,Q2259451,21,True,994,921,1009,1549,674,816,127,0.38448787878787877,0.2727272727272727,1.409788888888889
18,Q434111,12127,P106,2,Q2405480,59,False,2,2,4,1,2,1,6,0.3071593533487298,0.5147826086956522,0.596677797890269
19,Q434111,12127,P106,2,Q2405480,59,True,1434,1947,2364,743,1681,437,4461,0.13068483805268216,0.24914965986394558,0.5245234455629837
20,Q271956,15225,P106,2,Q81096,309,False,1,1,1,1,1,1,1,0.6559139784946236,0.6559139784946236,1.0
21,Q271956,15225,P106,2,Q81096,309,True,3,4,3,1,2,3,51,0.6559678097477291,0.7092492648672372,0.9248762631717613
22,Q298,2566,P361,39,Q653884,6410,False,1,1,1,1,1,1,1,0.22448979591836735,0.22448979591836735,1.0
23,Q298,2566,P361,39,Q653884,6410,True,1,1,1,1,1,1,1,0.22450734911113876,0.22450734911113876,1.0
24,Q1386948,10936,P27,3,Q30,31,False,1,1,1,1,1,1,1,0.9,0.9,1.0
25,Q1386948,10936,P27,3,Q30,31,True,30,22,31,41,23,31,2,0.9,0.8089999287403232,1.1124846468174245
26,Q203806,10711,P551,21,Q387047,4607,False,750,115,1732,1754,112,35,268,0.001995162109726203,,
27,Q203806,10711,P551,21,Q387047,4607,True,6838,5841,11326,12765,2898,1361,5248,0.0019951620947630923,0.0014962593516209476,1.3334333333333332
28,Q11637,13762,P106,2,Q10798782,337,False,1,1,1,1,1,1,1,0.7553324968632371,0.7553324968632371,1.0
29,Q11637,13762,P106,2,Q10798782,337,True,23,5,28,24,45,15,56,0.7553741635299038,0.7553967236596375,0.9999701347265257
30,Q162667,7121,P1050,32,Q11081,6254,False,11,9,7,2,34,4,2,0.002902757619738752,0.0009975308919482116,2.9099425823991956
31,Q162667,7121,P1050,32,Q11081,6254,True,8421,8172,9378,1903,16024,6626,,,,
32,Q153996,11762,P264,17,Q183387,789,False,10,14,4,12,15,5,1,0.07776049766718507,0.03441700758107933,2.2593625399883317
33,Q153996,11762,P264,17,Q183387,789,True,1703,2073,724,1677,3212,831,735,0.07776149517341949,0.03092369079490339,2.5146252977744674
34,Q92875,16494,P108,15,Q190080,3704,False,2,1,2,1,1,3,3,0.026436309426452368,0.026436309426452368,1.0
35,Q92875,16494,P108,15,Q190080,3704,True,13,1,19,1,21,24,1015,0.026436309426452368,0.09376708229426435,0.28193592868218587
36,Q884172,2899,P1303,14,Q17172850,288,False,1,1,1,1,1,1,1,0.8516642547033285,0.8516642547033285,1.0
37,Q884172,2899,P1303,14,Q17172850,288,True,258,354,210,247,271,209,317,0.6653691322689405,0.665381658571242,0.9999811742597047
38,Q273055,8761,P106,2,Q2252262,1199,False,1,1,1,1,1,2,1,0.6558704453441295,0.6558704453441295,1.0
39,Q273055,8761,P106,2,Q2252262,1199,True,3,1,1,3,6,2,13,0.6558965545591466,0.6559084598719745,0.9999818491244491
40,Q207592,7032,P106,2,Q10798782,337,False,2,6,1,2,1,1,2,0.6322537112010796,0.6322537112010796,1.0
41,Q207592,7032,P106,2,Q10798782,337,True,674,1479,243,424,575,648,341,0.52902352525144,0.42363769580437793,1.2487640511946458
42,Q232520,8840,P106,2,Q28389,102,False,3,3,4,2,2,3,6,0.26586122237539345,0.3446969696969697,0.7712897000780644
43,Q232520,8840,P106,2,Q28389,102,True,1209,1496,1180,846,691,1830,2446,0.26584613549127256,0.31854846688400823,0.8345547479532339
44,Q102022,2155,P69,4,Q315658,4559,False,27,10,12,67,28,19,38,0.03491596009975062,0.04439187032418952,0.7865395137614782
45,Q102022,2155,P69,4,Q315658,4559,True,2560,849,1092,6056,3386,1419,2230,0.03491596033418454,0.028430922792276735,1.2280980321774664
46,Q188401,12348,P27,3,Q30,31,False,1,1,1,1,1,1,1,0.8406593406593407,0.8406593406593407,1.0
47,Q188401,12348,P27,3,Q30,31,True,114,129,113,95,144,91,12,0.8407334612623557,0.7855031565656565,1.0703120085960887
48,Q76632,11480,P20,22,Q64,233,False,2,1,1,5,1,1,1,0.46875,0.29551490808422753,1.5862143911412994
49,Q76632,11480,P20,22,Q64,233,True,337,216,157,916,91,306,10,0.4687542896207729,0.1866912072492392,2.51085359898589
50,Q73437,3919,P27,3,Q30,31,False,1,1,1,1,1,1,1,0.5683930942895087,0.5683930942895087,1.0
51,Q73437,3919,P27,3,Q30,31,True,944,1082,1260,1200,494,684,1120,0.5684486539627114,0.5882779525411401,0.9662926368517235
52,Q683,3280,P463,1,Q191384,1136,False,1,1,1,1,1,1,1,0.8978102189781022,0.8978102189781022,1.0
53,Q683,3280,P463,1,Q191384,1136,True,1,1,1,1,1,1,1,0.8978102189781022,0.8978102189781022,1.0
54,Q87208,15658,P106,2,Q1350157,708,False,16,25,12,8,13,23,65,0.13068324286791272,0.13068324286792418,0.9999999999999123
55,Q87208,15658,P106,2,Q1350157,708,True,367,703,254,188,305,386,9230,0.0013297872340425534,0.24962713355572494,0.005327094114733731
56,Q1342003,8698,P27,3,Q15180,370,False,1,1,1,1,1,1,1,0.8441558441558441,0.8441558441558441,1.0
57,Q1342003,8698,P27,3,Q15180,370,True,13,21,7,16,8,15,1,0.8442358441558441,0.7594720783163972,1.1116087980842584
58,Q92830,14037,P106,2,Q170790,826,False,2,2,1,1,2,2,6,0.2557544757033248,0.3643852978453739,0.7018792394084289
59,Q92830,14037,P106,2,Q170790,826,True,3,4,5,2,4,2,447,0.2557654981472151,0.45083113839505257,0.5673199483463671
60,Q542101,7578,P106,2,Q177220,485,False,1,1,1,1,1,1,1,0.8717948717948718,0.8717948717948718,1.0
61,Q542101,7578,P106,2,Q177220,485,True,5,5,7,4,4,4,121,0.6888934520393499,0.7982271358238149,0.863029357337462
62,Q49285,3872,P69,4,Q41506,760,False,9,4,6,19,1,15,1,0.2033898305084746,0.05885710723680122,3.455654551457505
63,Q49285,3872,P69,4,Q41506,760,True,386,65,167,958,23,717,3,0.20339571623914793,0.05885286783042394,3.4560034835550133
64,Q959875,12241,P106,2,Q16533,1215,False,3,4,2,1,6,2,17,0.13068627125368398,0.22926829268292684,0.5700145873830897
65,Q959875,12241,P106,2,Q16533,1215,True,84,131,27,24,181,56,1733,0.13068627177884967,0.26109254910681867,0.5005361977042978
66,Q41257,1377,P19,13,Q1055,7525,False,4,2,5,10,2,1,4,0.08079800498753117,0.08079800498753117,1.0
67,Q41257,1377,P19,13,Q1055,7525,True,407,223,336,966,494,14,238,0.08079800498753117,0.06683895318209676,1.208846056690987
68,Q244234,8835,P106,2,Q36180,278,False,1,1,1,1,1,1,1,0.48814390842191335,0.48814390842191335,1.0
69,Q244234,8835,P106,2,Q36180,278,True,939,521,1320,1152,390,1313,3093,0.4113876451190315,0.5263640895764834,0.7815648013716839
70,Q957010,9308,P19,13,Q1345,5127,False,9,9,6,3,12,17,22,0.060353267212002994,0.06683670855862593,0.9029958014623659
71,Q957010,9308,P19,13,Q1345,5127,True,1721,2284,1809,954,1514,2044,1784,0.03790852899252269,0.03790852899253117,0.9999999999997763
72,Q58592,1534,P106,2,Q2405480,59,False,9,8,6,11,5,15,10,0.26586041147132167,0.26586122237539345,0.999996949897151
73,Q58592,1534,P106,2,Q2405480,59,True,1884,1807,1178,2352,1011,3074,4344,0.1306855869725686,0.2458852867830424,0.5314900646653145
74,Q177650,14949,P69,4,Q13371,170,False,3,2,1,5,3,3,3,0.0392156862745098,0.0392156862745098,1.0
75,Q177650,14949,P69,4,Q13371,170,True,1349,1505,982,1404,1507,1345,5385,0.028431670822942644,0.05885675810473816,0.4830655261770832
76,Q45233,16538,P106,2,Q36180,278,False,2,2,2,2,2,2,2,0.6478454680534919,0.6478454680534919,1.0
77,Q45233,16538,P106,2,Q36180,278,True,254,156,479,276,47,311,918,0.5263640934500071,0.7702067340463039,0.6834062468978137
78,Q520430,15705,P108,15,Q2994538,5844,False,1,1,1,1,1,1,5,0.023940149625935162,0.07101568951279934,0.33711071159311023
79,Q520430,15705,P108,15,Q2994538,5844,True,2,2,2,2,2,4,1618,0.02394199501246883,0.2285930507865988,0.1047363204178052
80,Q154751,5708,P106,2,Q1234713,1265,False,4,3,3,5,6,2,16,0.2539678081857664,0.34535104364326374,0.7353903017247193
81,Q154751,5708,P106,2,Q1234713,1265,True,36,13,58,30,65,16,169,0.2539678081857664,0.3119810565981935,0.8140488110239864
82,Q86526,14693,P463,1,Q44687,7084,False,2,4,1,1,1,1,3,0.3230088495575221,0.3233333333333333,0.9989964419304809
83,Q86526,14693,P463,1,Q44687,7084,True,49,79,46,50,26,42,121,0.32301598206625026,0.3230284508941805,0.9999614002175483
84,Q171453,6385,P161,0,Q167520,1023,False,1393,663,1956,3151,574,619,46,0.06483875317207381,0.004987680798004987,12.999780017600273
85,Q171453,6385,P161,0,Q167520,1023,True,906,627,1039,1894,500,471,2,0.06484104309699004,0.00498778056359202,12.999979102988815
86,Q9200,1547,P106,2,Q4504549,16725,False,44,41,38,31,52,56,29,0.25396313061447257,0.20851063829787234,1.2179864427428786
87,Q9200,1547,P106,2,Q4504549,16725,True,193,270,113,105,213,266,32,0.2539524944735952,0.2458852867830424,1.0328088264088404
88,Q55690,3222,P106,2,Q28389,102,False,2,2,2,2,2,2,4,0.534010152284264,0.7342026078234705,0.7273334997642229
89,Q55690,3222,P106,2,Q28389,102,True,289,228,290,404,133,389,1072,0.32200665866212214,0.41761720019111326,0.7710569835599753
90,Q381420,14976,P106,2,Q36834,141,False,1,2,1,1,1,1,2,0.5239669421487604,0.5870570107858244,0.892531615366261
91,Q381420,14976,P106,2,Q36834,141,True,1037,1204,968,894,1027,1092,488,0.5240189685677112,0.4086004380472884,1.2824728506704761
92,Q338442,13405,P136,10,Q130232,399,False,1,1,1,1,1,1,1,0.48182883939038684,0.48182883939038684,1.0
93,Q338442,13405,P136,10,Q130232,399,True,170,226,198,204,126,96,429,0.48184485028315494,0.5181204767916152,0.9299861168717134
94,Q49017,2658,P1303,14,Q17172850,288,False,1,1,1,1,1,1,1,0.8516642547033285,0.8516642547033285,1.0
95,Q49017,2658,P1303,14,Q17172850,288,True,64,113,35,51,35,87,922,0.49511511539261144,0.8058761806860469,0.614381126106888
96,Q14747,14041,P106,2,Q33999,5,False,1,1,1,1,1,1,1,0.826530612244898,0.826530612244898,1.0
97,Q14747,14041,P106,2,Q33999,5,True,389,465,427,304,408,341,1741,0.39438927410617547,0.5870867827720431,0.671773382878747
98,Q200841,15744,P69,4,Q178848,7209,False,96,25,133,37,108,175,67,0.02843127201996957,0.02843127201996957,1.0
99,Q200841,15744,P69,4,Q178848,7209,True,2237,336,2692,528,1773,5855,2825,0.02344339152119701,0.02344339152119701,1.0
100,Q34091,5357,P172,5,Q49085,13,False,2,1,1,5,1,1,1,0.42857142857142855,0.07581800927645425,5.652633624403589
101,Q34091,5357,P172,5,Q49085,13,True,1716,833,1536,3182,1265,1766,107,0.42857900961881007,0.08017344198448846,5.345648122500831
102,Q150651,12727,P106,2,Q12406482,2592,False,51,87,30,47,28,61,253,0.13068304332169575,0.21995950217464788,0.5941232000876843
103,Q150651,12727,P106,2,Q12406482,2592,True,335,786,75,216,85,515,6047,0.09276839894943492,0.22245695760598505,0.4170172960548439
104,Q741058,4387,P20,22,Q61,477,False,1,2,2,1,1,1,4,0.29551640413192787,0.2955164044312265,0.9999999989872013
105,Q741058,4387,P20,22,Q61,477,True,153,345,291,54,42,34,14,0.2955164043364166,0.1417910447761194,2.084168325319991
106,Q28152,15284,P108,15,Q156725,1302,False,30,58,15,23,6,46,16,0.013467631047589187,0.013467631042401994,1.00000000038516
107,Q28152,15284,P108,15,Q156725,1302,True,1352,2468,726,1359,729,1480,2821,0.011970074812967581,0.026433915211970076,0.4528301886792453
108,Q14278,11684,P106,2,Q170790,826,False,1,1,1,1,1,1,11,0.2459063570171561,0.5247933884297521,0.46857746770198244
109,Q14278,11684,P106,2,Q170790,826,True,5,3,9,2,6,5,698,0.24590635879770473,0.4348138042617646,0.565544047561253
110,Q372234,3053,P27,3,Q159,299,False,1,1,2,1,1,1,2,0.6155878467635403,0.671664167916042,0.9165113700698244
111,Q372234,3053,P27,3,Q159,299,True,89,59,126,76,35,147,162,0.6156270402189212,0.6156362509766755,0.999985038636468
112,Q69236,2667,P106,2,Q2526255,1287,False,7,8,15,4,3,5,10,0.20639332870048646,0.2667910447761194,0.773614155129096
113,Q69236,2667,P106,2,Q2526255,1287,True,2473,2369,4394,1674,1519,2407,6865,0.12699574793973664,0.23648756531157425,0.5370081415165264
114,Q128493,10632,P136,10,Q319221,3882,False,15,21,16,10,8,19,20,0.1601089277742046,0.16010892787760653,0.9999999993541776
115,Q128493,10632,P136,10,Q319221,3882,True,537,628,620,288,247,903,401,0.16010942735162711,0.16010942735162095,1.0000000000000384
116,Q953,939,P463,1,Q899770,2457,False,1,1,2,1,1,1,1,0.6910112359550562,0.6910112359550562,1.0
