,index,h_id,t_id,freq_h,freq_t,freq,norm_freq,norm_freq_h,norm_freq_t
0,0,0,0,20,27,47,0.006042296072507553,0.01509433962264151,0.004293210367307998
1,1,2,2,7,3,10,0.0011821883620123472,0.005283018867924529,0.0004770233741453331
2,2,4,4,394,1047,1441,0.18915013792197558,0.29735849056603775,0.16648115757672127
3,3,6,6,45,34,79,0.010245632470773676,0.033962264150943396,0.005406264906980442
4,4,8,8,13,16,29,0.0036779193484828584,0.009811320754716982,0.002544124662108443
5,5,10,10,9,4,13,0.0015762511493497965,0.006792452830188679,0.0006360311655271108
6,6,12,12,24,17,41,0.005254170497832654,0.018113207547169812,0.002703132453490221
7,7,14,14,102,65,167,0.021804807566005516,0.07698113207547169,0.010335506439815552
8,8,16,16,55,24,79,0.010245632470773676,0.04150943396226415,0.003816186993162665
9,9,18,18,69,71,140,0.018258242479968476,0.052075471698113204,0.011289553188106217
10,10,20,20,70,24,94,0.012215946407460923,0.052830188679245285,0.003816186993162665
11,11,22,22,43,10,53,0.0068304216471824514,0.03245283018867925,0.0015900779138177772
12,12,24,24,20,18,38,0.004860107710495206,0.01509433962264151,0.0028621402448719985
13,13,26,26,58,29,87,0.011296466570340207,0.04377358490566038,0.004611225950071554
14,14,28,28,17,15,32,0.004071982135820307,0.012830188679245283,0.0023851168707266657
15,15,30,30,67,52,119,0.01549980296860633,0.050566037735849056,0.008268405151852442
16,16,32,32,1325,6289,7614,1.0,1.0,1.0
17,17,34,34,27,36,63,0.008143964271640615,0.020377358490566037,0.005724280489743997
18,18,36,36,25,5,30,0.0038092736109286746,0.018867924528301886,0.0007950389569088886
19,19,37,37,51,38,89,0.01155917509523184,0.038490566037735846,0.006042296072507553
20,20,39,39,86,99,185,0.02416918429003021,0.0649056603773585,0.015741771346795993
21,21,41,41,33,19,52,0.0066990673847366344,0.02490566037735849,0.0030211480362537764
22,22,43,43,48,147,195,0.025482726914488375,0.036226415094339624,0.023374145333121325
23,23,45,45,9,6,15,0.0018389596742414292,0.006792452830188679,0.0009540467482906663
24,24,47,47,17,0,17,0.0021016681991330617,0.012830188679245283,0.0
25,25,49,49,21,10,31,0.003940627873374491,0.015849056603773583,0.0015900779138177772
26,26,51,51,7,0,7,0.0007881255746748983,0.005283018867924529,0.0
27,27,53,53,88,23,111,0.0144489688690398,0.06641509433962264,0.003657179201780887
28,28,55,55,57,12,69,0.008932089846315513,0.0430188679245283,0.0019080934965813325
29,29,56,56,32,17,49,0.006305004597399186,0.024150943396226414,0.002703132453490221
30,30,58,58,22,13,35,0.004466044923157757,0.01660377358490566,0.0020671012879631104
31,31,59,59,12,8,20,0.002495730986470511,0.009056603773584906,0.0012720623310542216
32,32,61,61,20,19,39,0.004991461972941022,0.01509433962264151,0.0030211480362537764
33,33,63,63,39,11,50,0.006436358859845002,0.02943396226415094,0.0017490857051995548
34,34,65,65,55,69,124,0.016156574280835414,0.04150943396226415,0.010971537605342661
35,35,67,67,55,11,66,0.008538027058978064,0.04150943396226415,0.0017490857051995548
36,36,69,69,91,28,119,0.01549980296860633,0.06867924528301887,0.004452218158689776
37,37,71,71,30,19,49,0.006305004597399186,0.022641509433962263,0.0030211480362537764
38,38,72,72,37,12,49,0.006305004597399186,0.027924528301886794,0.0019080934965813325
39,39,74,74,34,3,37,0.004728753448049389,0.025660377358490565,0.0004770233741453331
40,40,76,76,22,16,38,0.004860107710495206,0.01660377358490566,0.002544124662108443
41,41,78,78,13,16,29,0.0036779193484828584,0.009811320754716982,0.002544124662108443
42,42,79,79,26,16,42,0.005385524760278471,0.019622641509433963,0.002544124662108443
43,43,81,81,31,25,56,0.0072244844345199,0.02339622641509434,0.003975194784544443
44,44,83,83,11,18,29,0.0036779193484828584,0.00830188679245283,0.0028621402448719985
45,45,85,85,67,80,147,0.01917772231708919,0.050566037735849056,0.012720623310542217
46,46,87,87,94,20,114,0.014843031656377249,0.0709433962264151,0.0031801558276355543
47,47,89,89,3,1,4,0.0003940627873374491,0.0022641509433962265,0.0001590077913817777
48,48,91,91,21,38,59,0.007618547221857349,0.015849056603773583,0.006042296072507553
49,49,93,93,18,14,32,0.004071982135820307,0.013584905660377358,0.002226109079344888
50,50,94,94,33,8,41,0.005254170497832654,0.02490566037735849,0.0012720623310542216
51,51,96,96,10,9,19,0.0023643767240246944,0.007547169811320755,0.0014310701224359993
52,52,98,98,110,9,119,0.01549980296860633,0.0830188679245283,0.0014310701224359993
53,53,100,100,18,34,52,0.0066990673847366344,0.013584905660377358,0.005406264906980442
54,54,102,102,15,1,16,0.0019703139366872456,0.011320754716981131,0.0001590077913817777
55,55,104,104,19,11,30,0.0038092736109286746,0.014339622641509434,0.0017490857051995548
56,56,106,106,116,92,208,0.027190332326283987,0.08754716981132075,0.014628716807123548
57,57,108,108,14,3,17,0.0021016681991330617,0.010566037735849057,0.0004770233741453331
58,58,110,110,9,5,14,0.0017076054117956129,0.006792452830188679,0.0007950389569088886
59,59,111,111,28,22,50,0.006436358859845002,0.021132075471698115,0.0034981714103991097
60,60,113,113,22,23,45,0.00577958754761592,0.01660377358490566,0.003657179201780887
61,61,116,116,8,12,20,0.002495730986470511,0.0060377358490566035,0.0019080934965813325
62,62,118,118,45,14,59,0.007618547221857349,0.033962264150943396,0.002226109079344888
63,63,120,120,19,17,36,0.004597399185603573,0.014339622641509434,0.002703132453490221
64,64,121,121,26,1,27,0.0034152108235912257,0.019622641509433963,0.0001590077913817777
65,65,123,123,30,13,43,0.0055168790227242874,0.022641509433962263,0.0020671012879631104
66,66,125,125,48,52,100,0.01300407198213582,0.036226415094339624,0.008268405151852442
67,67,127,127,18,8,26,0.003283856561145409,0.013584905660377358,0.0012720623310542216
68,68,129,129,13,10,23,0.00288979377380796,0.009811320754716982,0.0015900779138177772
69,69,130,130,11,16,27,0.0034152108235912257,0.00830188679245283,0.002544124662108443
70,70,132,132,50,41,91,0.011821883620123473,0.03773584905660377,0.006519319446652886
71,71,134,134,4,4,8,0.0009194798371207146,0.0030188679245283017,0.0006360311655271108
72,72,135,135,22,18,40,0.005122816235386838,0.01660377358490566,0.0028621402448719985
73,73,137,137,21,20,41,0.005254170497832654,0.015849056603773583,0.0031801558276355543
74,74,138,138,689,500,1189,0.15604886378562985,0.52,0.07950389569088885
75,75,140,140,49,26,75,0.009720215420990412,0.0369811320754717,0.004134202575926221
76,76,142,142,8,0,8,0.0009194798371207146,0.0060377358490566035,0.0
77,77,144,144,46,21,67,0.008669381321423881,0.03471698113207547,0.0033391636190173318
78,78,146,146,15,15,30,0.0038092736109286746,0.011320754716981131,0.0023851168707266657
79,79,148,148,20,21,41,0.005254170497832654,0.01509433962264151,0.0033391636190173318
80,80,149,149,53,22,75,0.009720215420990412,0.04,0.0034981714103991097
81,81,151,151,4,1,5,0.0005254170497832654,0.0030188679245283017,0.0001590077913817777
82,82,153,153,31,46,77,0.009982923945882044,0.02339622641509434,0.007314358403561774
83,83,155,155,46,6,52,0.0066990673847366344,0.03471698113207547,0.0009540467482906663
84,84,156,156,23,13,36,0.004597399185603573,0.017358490566037735,0.0020671012879631104
85,85,157,157,33,9,42,0.005385524760278471,0.02490566037735849,0.0014310701224359993
86,86,159,159,44,47,91,0.011821883620123473,0.03320754716981132,0.007473366194943552
87,87,161,161,8,3,11,0.0013135426244581636,0.0060377358490566035,0.0004770233741453331
88,88,162,162,19,13,32,0.004071982135820307,0.014339622641509434,0.0020671012879631104
89,89,164,164,36,12,48,0.006173650334953369,0.027169811320754716,0.0019080934965813325
90,90,166,166,84,64,148,0.019309076579535005,0.06339622641509433,0.010176498648433773
91,91,167,167,31,5,36,0.004597399185603573,0.02339622641509434,0.0007950389569088886
92,92,169,169,75,11,86,0.011165112307894392,0.05660377358490566,0.0017490857051995548
93,93,171,171,61,3,64,0.008275318534086432,0.046037735849056606,0.0004770233741453331
94,94,173,173,8,9,17,0.0021016681991330617,0.0060377358490566035,0.0014310701224359993
