,h_id,t_id,entity_sim_score,norm_entity_sim_score
0,0,0,731.311,0.33173844
1,1,1,1483.5465,0.48202777
2,2,2,1881.7687,0.56158864
3,3,3,2466.2554,0.6783634
4,4,4,430.65442,0.27167022
5,5,5,2093.7205,0.6039345
6,6,6,2001.182,0.58544624
7,7,7,2103.7837,0.6059451
8,8,8,1799.2307,0.54509836
9,9,9,154.956,0.21658835
10,10,10,2234.7402,0.6321089
11,11,11,125.20801,0.210645
12,12,12,2173.9617,0.6199659
13,13,13,1632.5253,0.51179224
14,14,14,533.86346,0.29229036
15,15,15,1586.3903,0.5025749
16,16,16,1903.6279,0.56595594
17,17,17,1748.7662,0.53501606
18,18,18,124.407364,0.21048504
19,19,19,-393.95996,0.106920324
20,20,20,802.006,0.34586263
21,21,21,1186.3793,0.42265666
22,22,22,1610.2451,0.5073409
23,23,23,1280.0857,0.44137827
24,24,24,1707.9576,0.5268629
25,25,25,1758.5188,0.53696454
26,26,26,1455.8934,0.47650295
27,27,27,-5.75405,0.18448007
28,28,28,1823.5387,0.5499549
29,29,29,735.1991,0.33251527
30,30,30,1407.6821,0.4668708
31,31,31,1867.8323,0.5588043
32,32,32,-617.5773,0.062243775
33,33,33,2949.6694,0.7749448
34,34,34,2155.4067,0.61625886
35,35,35,1671.4425,0.51956755
36,36,36,2239.0103,0.63296205
37,37,37,1833.7152,0.55198807
38,38,38,1922.4688,0.56972015
39,39,39,286.00806,0.24277128
40,40,40,1684.4532,0.52216697
41,41,41,1506.8424,0.48668206
42,42,42,1101.6665,0.40573186
43,43,43,1096.4224,0.40468413
44,44,44,1065.6553,0.3985372
45,45,45,2397.4688,0.6646205
46,46,46,-88.736206,0.16790105
47,47,47,1459.2677,0.47717708
48,48,48,2024.0969,0.5900244
49,49,49,1856.1002,0.5564603
50,50,50,2228.434,0.63084906
51,51,51,1660.4436,0.51737005
52,52,52,1688.4731,0.52297014
53,53,53,2164.9639,0.6181683
54,54,54,1613.8826,0.5080676
55,55,55,1428.0027,0.4709306
56,56,56,823.6994,0.35019675
57,57,57,1757.6783,0.5367966
58,58,58,2069.5215,0.5990999
59,59,59,2075.465,0.60028726
60,60,60,730.2049,0.3315175
61,61,61,2045.0691,0.59421444
62,62,62,2282.8132,0.6417134
63,63,63,1680.5914,0.5213954
64,64,64,1323.3718,0.4500264
65,65,65,867.4258,0.35893285
66,66,66,1750.4438,0.5353513
67,67,67,1527.1577,0.49074087
68,68,68,-21.452362,0.18134369
69,69,69,484.92892,0.28251374
70,70,70,1616.7625,0.508643
71,71,71,1688.3195,0.5229394
72,72,72,1619.9294,0.50927573
73,73,73,1404.7933,0.46629363
74,74,74,1457.5764,0.47683915
75,75,75,123.72359,0.21034844
76,76,76,1806.7054,0.54659176
77,77,77,374.15433,0.26038206
78,78,78,2009.2898,0.5870661
79,79,79,1733.7142,0.5320088
80,80,80,1497.0458,0.4847248
81,81,81,1742.4065,0.5337454
82,82,82,1077.8047,0.4009645
83,83,83,1998.6997,0.5849503
84,84,84,609.5049,0.3074028
85,85,85,1562.8333,0.49786845
