,h_id,t_id,entity_sim_score,norm_entity_sim_score
0,0,0,3965.8242,0.4479833
1,1,1,4406.782,0.5281696
2,2,2,4820.0815,0.6033262
3,3,3,4595.46,0.56247973
4,4,4,3078.6401,0.28665283
5,5,5,4713.833,0.58400536
6,6,6,4005.8452,0.45526093
7,7,7,3691.8203,0.39815688
8,8,8,4922.6426,0.62197644
9,9,9,3081.253,0.28712794
10,10,10,5561.2046,0.7380961
11,11,11,3136.4546,0.29716614
12,12,12,3924.184,0.4404112
13,13,13,4142.7114,0.48014945
14,14,14,3835.2778,0.42424402
15,15,15,4142.4727,0.48010603
16,16,16,3599.129,0.38130137
17,17,17,3604.4097,0.38226166
18,18,18,4157.168,0.4827783
19,19,19,3461.3079,0.35623926
20,20,20,3662.1772,0.39276645
21,21,21,4341.582,0.5163132
22,22,22,4315.557,0.51158065
23,23,23,3007.5823,0.27373126
24,24,24,4243.945,0.49855828
25,25,25,3833.6492,0.4239479
26,26,26,3827.5435,0.42283756
27,27,27,3164.2595,0.30222234
28,28,28,4218.482,0.493928
29,29,29,3427.5337,0.35009757
30,30,30,3621.9634,0.38545373
31,31,31,4064.9575,0.46601024
32,32,32,1502.287,0.0
33,33,33,5336.4756,0.69723016
34,34,34,3768.8652,0.41216716
35,35,35,4266.2754,0.502619
36,36,36,4607.4688,0.5646635
37,37,37,3907.2769,0.4373367
38,38,38,3986.7688,0.451792
39,39,39,3415.9385,0.34798902
40,40,40,4218.863,0.49399725
41,41,41,3231.416,0.31443444
42,42,42,4057.9937,0.46474388
43,43,43,3465.1233,0.35693306
44,44,44,3987.7227,0.45196542
45,45,45,4303.0103,0.5092991
46,46,46,3531.0737,0.36892587
47,47,47,4629.861,0.5687354
48,48,48,3756.8535,0.4099829
49,49,49,3787.8633,0.41562188
50,50,50,4344.0967,0.5167705
51,51,51,5022.089,0.6400603
52,52,52,3612.8462,0.3837958
53,53,53,4310.4614,0.51065403
54,54,54,3511.377,0.3653441
55,55,55,3936.416,0.44263554
56,56,56,3823.8633,0.4221683
57,57,57,4032.1987,0.4600532
58,58,58,3776.0767,0.41347855
59,59,59,4178.73,0.48669925
60,60,60,3991.2896,0.45261404
61,61,61,3902.3884,0.43644783
62,62,62,2537.0022,0.18815836
63,63,63,3899.5564,0.43593282
64,64,64,3673.8364,0.3948866
65,65,65,4097.894,0.47199962
66,66,66,3646.7517,0.38996142
67,67,67,4172.802,0.48562124
68,68,68,3088.0322,0.28836074
69,69,69,3774.5715,0.41320488
70,70,70,4390.8584,0.52527386
71,71,71,4164.978,0.48419854
72,72,72,3431.6704,0.3508498
73,73,73,3932.713,0.44196215
74,74,74,4486.7754,0.54271597
75,75,75,3032.473,0.27825752
76,76,76,4252.4556,0.5001059
77,77,77,3465.7239,0.35704228
78,78,78,4442.167,0.53460413
79,79,79,4058.5767,0.46484992
80,80,80,3676.0107,0.395282
81,81,81,3670.9058,0.3943537
82,82,82,4313.2334,0.5111581
83,83,83,4640.2617,0.57062674
84,84,84,3658.756,0.39214435
85,85,85,3345.4724,0.3351751
86,86,86,4039.5679,0.46139324
87,87,87,3803.94,0.41854537
88,88,88,4371.359,0.521728
89,89,89,5758.3633,0.77394855
90,90,90,2578.6033,0.19572334
91,91,91,4693.6997,0.5803442
92,92,92,3302.9104,0.32743537
93,93,93,4318.43,0.51210314
94,94,94,4523.631,0.549418
95,95,95,3625.3315,0.3860662
96,96,96,4623.3765,0.56755626
97,97,97,4031.734,0.45996866
98,98,98,4076.7583,0.46815616
99,99,99,5037.566,0.6428748
100,100,100,3376.2073,0.34076408
101,101,101,3782.2124,0.4145943
102,102,102,4487.5083,0.54284924
103,103,103,4062.0303,0.46547794
104,104,104,4184.81,0.4878049
105,105,105,3852.2397,0.42732847
106,106,106,3795.8286,0.41707033
107,107,107,4441.6406,0.5345084
108,108,108,3521.1882,0.36712822
109,109,109,4592.726,0.56198263
110,110,110,4896.278,0.61718214
111,111,111,4019.3203,0.4577113
112,112,112,3658.6765,0.3921299
113,113,113,3576.7092,0.3772245
114,114,114,3464.9631,0.35690394
115,115,115,3958.937,0.44673088
116,116,116,5168.122,0.66661584
117,117,117,3143.6448,0.29847363
118,118,118,3830.2388,0.42332768
119,119,119,2689.0037,0.21579917
120,120,120,3985.924,0.4516384
121,121,121,4230.433,0.49610123
122,122,122,5337.5537,0.6974262
123,123,123,3933.3933,0.44208592
124,124,124,3488.355,0.36115766
125,125,125,3946.5823,0.44448426
126,126,126,3475.547,0.3588286
127,127,127,4744.4287,0.58956903
128,128,128,3532.024,0.36909866
129,129,129,4085.0237,0.46965924
130,130,130,3917.0977,0.4391226
131,131,131,3695.2153,0.39877427
132,132,132,4231.4824,0.49629205
133,133,133,4447.0854,0.5354985
134,134,134,5360.1016,0.70152646
135,135,135,4171.3164,0.48535115
136,136,136,3851.1108,0.42712316
137,137,137,3570.1924,0.3760394
138,138,138,3148.458,0.2993489
139,139,139,3754.827,0.4096144
140,140,140,3628.9685,0.38672763
141,141,141,2537.1616,0.18818736
142,142,142,4533.618,0.5512341
143,143,143,4722.999,0.58567214
144,144,144,3630.4246,0.3869924
145,145,145,3642.1013,0.38911575
146,146,146,4049.4785,0.46319544
147,147,147,3949.5608,0.4450259
148,148,148,4277.914,0.50473547
149,149,149,3742.6304,0.40739647
150,150,150,4018.4805,0.4575586
151,151,151,4935.5195,0.62431806
152,152,152,4466.348,0.53900135
153,153,153,4074.6328,0.46776965
154,154,154,3524.3625,0.36770546
155,155,155,3986.5447,0.45175126
156,156,156,3695.9019,0.3988991
157,157,157,4070.7288,0.46705976
158,158,158,2717.33,0.22095019
159,159,159,4115.145,0.4751366
160,160,160,3029.9832,0.27780476
161,161,161,4242.164,0.49823445
162,162,162,3756.446,0.40990883
163,163,163,3585.1614,0.3787615
164,164,164,4313.8364,0.5112678
165,165,165,4776.0186,0.59531355
166,166,166,3713.852,0.40216327
167,167,167,4485.6357,0.5425087
168,168,168,4087.089,0.4700348
169,169,169,3967.3652,0.44826353
170,170,170,4759.595,0.592327
171,171,171,4380.0474,0.5233079
172,172,172,3836.5005,0.42446634
173,173,173,4076.1948,0.4680537
174,174,174,4226.191,0.49532983
175,175,175,4402.326,0.52735925
176,176,176,4450.8276,0.536179
177,177,177,3934.4985,0.44228685
178,178,178,3980.1719,0.45059234
179,179,179,4121.015,0.47620407
180,180,180,4260.94,0.5016488
181,181,181,2690.226,0.21602145
182,182,182,3634.15,0.3876698
183,183,183,4002.7483,0.45469782
184,184,184,4294.414,0.5077359
185,185,185,4474.0825,0.5404078
186,186,186,3163.6882,0.30211845
187,187,187,4258.5474,0.50121367
188,188,188,4238.629,0.4975916
189,189,189,4090.935,0.47073415
190,190,190,3654.1167,0.39130065
191,191,191,4669.834,0.5760043
192,192,192,4149.048,0.4813017
193,193,193,3795.5986,0.41702852
194,194,194,3798.8286,0.4176159
195,195,195,4209.769,0.49234357
196,196,196,3684.3967,0.396807
197,197,197,4309.821,0.51053756
198,198,198,4047.0315,0.46275052
199,199,199,5222.4414,0.6764935
200,200,200,4377.7676,0.52289337
