,h_id,t_id,entity_sim_score,norm_entity_sim_score
0,0,0,533.38635,0.15701167
1,1,1,991.45233,0.22203168
2,2,2,1233.7085,0.25641862
3,3,3,720.58563,0.1835836
4,4,4,1940.0612,0.35668162
5,5,5,1143.5051,0.24361475
6,6,6,-126.569405,0.063334495
7,7,7,133.1159,0.10019543
8,8,8,-84.32976,0.069330186
9,9,9,676.6382,0.1773455
10,10,10,2870.7773,0.48879173
11,11,11,302.26318,0.12420498
12,12,12,537.27716,0.15756394
13,13,13,1687.8931,0.32088768
14,14,14,443.83966,0.144301
15,15,15,761.57983,0.1894025
16,16,16,356.47968,0.13190071
17,17,17,2667.0344,0.45987153
18,18,18,1369.7258,0.27572554
19,19,19,800.2093,0.19488573
20,20,20,358.79364,0.13222916
21,21,21,979.7028,0.2203639
22,22,22,2410.0955,0.42340043
23,23,23,248.61276,0.11658959
24,24,24,531.10315,0.15668757
25,25,25,3730.8508,0.61087453
26,26,26,772.1744,0.19090633
27,27,27,907.93274,0.21017651
28,28,28,549.9839,0.15936759
29,29,29,585.7638,0.16444637
30,30,30,-124.14676,0.06367838
31,31,31,1260.7894,0.2602626
32,32,32,198.04314,0.1094115
33,33,33,897.3483,0.20867412
34,34,34,450.1626,0.1451985
35,35,35,907.01654,0.21004647
36,36,36,2199.4558,0.39350125
37,37,37,2477.8381,0.43301615
38,38,38,1724.2245,0.3260447
39,39,39,166.13565,0.1048824
40,40,40,1668.1365,0.31808335
41,41,41,103.59768,0.09600547
42,42,42,126.51069,0.09925785
43,43,43,1649.9833,0.31550658
44,44,44,477.2525,0.14904375
45,45,45,518.57776,0.15490967
46,46,46,858.35706,0.20313951
47,47,47,784.03296,0.19258961
48,48,48,181.63313,0.10708219
49,49,49,886.7731,0.207173
50,50,50,696.20953,0.18012354
51,51,51,468.5632,0.14781037
52,52,52,632.4231,0.1710694
53,53,53,674.629,0.1770603
54,54,54,814.7613,0.19695131
55,55,55,1859.7445,0.34528106
56,56,56,277.75528,0.120726205
57,57,57,1310.7382,0.26735258
58,58,58,609.91534,0.16787453
59,59,59,704.885,0.18135498
60,60,60,701.79193,0.18091594
61,61,61,3382.9624,0.56149364
62,62,62,112.88312,0.09732349
63,63,63,725.2672,0.18424812
64,64,64,434.36224,0.14295572
65,65,65,737.8325,0.1860317
66,66,66,-40.598484,0.0755376
67,67,67,2731.4548,0.46901566
68,68,68,934.03375,0.2138814
69,69,69,1923.6956,0.35435858
70,70,70,1795.8638,0.33621356
71,71,71,-316.9749,0.036307458
72,72,72,581.64044,0.16386107
73,73,73,1137.1255,0.24270919
74,74,74,495.39767,0.15161937
75,75,75,169.91202,0.105418436
76,76,76,2534.9978,0.44112965
77,77,77,171.98709,0.10571298
78,78,78,1000.29785,0.22328724
79,79,79,646.75354,0.17310353
80,80,80,926.72015,0.2128433
81,81,81,991.6807,0.22206408
82,82,82,890.84515,0.20775104
83,83,83,349.82166,0.13095565
84,84,84,1758.8269,0.33095637
85,85,85,136.1887,0.100631595
86,86,86,2393.937,0.42110682
87,87,87,-295.69437,0.039328117
88,88,88,443.43942,0.1442442
89,89,89,794.13934,0.19402416
90,90,90,849.9282,0.20194308
91,91,91,290.6792,0.12256069
92,92,92,703.929,0.18121926
93,93,93,538.87506,0.15779075
94,94,94,724.7384,0.18417306
95,95,95,246.99777,0.11636035
96,96,96,182.63681,0.10722466
97,97,97,2814.0288,0.48073658
98,98,98,-191.70839,0.05408837
99,99,99,1809.792,0.3381906
100,100,100,2665.4849,0.4596516
101,101,101,1247.5247,0.25837976
102,102,102,4251.5728,0.6847883
103,103,103,1234.0814,0.25647157
104,104,104,819.89307,0.19767976
105,105,105,349.2134,0.1308693
106,106,106,602.8838,0.16687645
107,107,107,504.7049,0.15294048
108,108,108,236.84283,0.11491891
109,109,109,1180.2728,0.24883372
110,110,110,377.70322,0.13491328
111,111,111,3128.2285,0.52533555
112,112,112,1438.8555,0.28553814
113,113,113,1519.7942,0.29702696
114,114,114,351.46808,0.13118935
115,115,115,1402.1223,0.28032407
116,116,116,907.6501,0.2101364
117,117,117,276.47806,0.12054491
118,118,118,1589.5792,0.30693257
119,119,119,184.84303,0.10753781
120,120,120,489.38608,0.15076607
121,121,121,314.4619,0.12593652
122,122,122,177.3049,0.10646782
123,123,123,4076.6245,0.6599553
124,124,124,732.45416,0.18526827
125,125,125,1169.9792,0.2473726
126,126,126,279.01178,0.120904565
