,h_id,t_id,entity_sim_score,norm_entity_sim_score
0,0,0,221.74869,0.49950767
1,1,1,10.576132,0.3503211
2,2,2,-93.50568,0.27679068
3,3,3,75.467575,0.3961648
4,4,4,-107.956505,0.26658162
5,5,5,-208.00418,0.19590117
6,6,6,333.73193,0.57862025
7,7,7,-129.27943,0.25151768
8,8,8,-37.22165,0.3165535
9,9,9,-81.623116,0.2851853
10,10,10,-52.779808,0.30556217
11,11,11,-115.68762,0.26111984
12,12,12,85.398285,0.40318054
13,13,13,-214.36674,0.19140622
14,14,14,123.98045,0.4304376
15,15,15,-146.82137,0.23912486
16,16,16,-12.475498,0.33403587
17,17,17,214.3774,0.4943001
18,18,18,98.43929,0.41239357
19,19,19,-358.48077,0.08959432
20,20,20,115.1645,0.4242094
21,21,21,-211.66974,0.19331157
22,22,22,-91.91894,0.27791163
23,23,23,-70.001884,0.29339534
24,24,24,26.44143,0.3615294
25,25,25,21.187407,0.35781762
26,26,26,167.45578,0.4611515
27,27,27,-201.9631,0.200169
28,28,28,207.54501,0.48947328
29,29,29,-64.66272,0.29716727
30,30,30,96.01567,0.4106814
31,31,31,122.68884,0.4295251
32,32,32,-1.0584352,0.34210166
33,33,33,-28.714937,0.32256323
34,34,34,-58.20571,0.30172893
35,35,35,192.07578,0.47854474
36,36,36,197.74474,0.48254967
37,37,37,173.38655,0.4653414
38,38,38,-58.66626,0.30140358
39,39,39,-58.07788,0.30181926
40,40,40,-25.46651,0.32485813
41,41,41,-83.78355,0.28365904
42,42,42,-47.33084,0.3094117
43,43,43,36.9186,0.36893117
44,44,44,49.879696,0.3780878
45,45,45,-85.45723,0.28247663
46,46,46,75.78678,0.39639032
47,47,47,-42.44587,0.31286278
48,48,48,-121.991165,0.2566666
49,49,49,0.9621755,0.34352916
50,50,50,65.853615,0.38937286
51,51,51,-21.055283,0.32797453
52,52,52,-35.455944,0.31780094
53,53,53,58.53779,0.38420445
54,54,54,-61.988976,0.2990562
55,55,55,5.6327333,0.34682873
56,56,56,0.4104042,0.34313935
57,57,57,-54.401466,0.30441654
58,58,58,-61.819447,0.29917595
59,59,59,-64.59313,0.29721645
60,60,60,92.16717,0.40796253
61,61,61,67.82241,0.39076373
62,62,62,-9.842792,0.33589578
63,63,63,136.79924,0.43949366
64,64,64,98.24393,0.41225556
65,65,65,-269.74124,0.15228593
66,66,66,-45.572464,0.31065395
67,67,67,-4.529274,0.33964962
68,68,68,-53.673817,0.30493057
69,69,69,-28.47291,0.3227342
70,70,70,39.881344,0.37102428
71,71,71,74.379364,0.39539605
72,72,72,67.199844,0.3903239
73,73,73,-180.46754,0.21535492
74,74,74,-17.832321,0.33025143
75,75,75,-62.090622,0.29898438
76,76,76,32.21811,0.36561048
77,77,77,-17.400337,0.33055663
78,78,78,-57.019363,0.30256706
79,79,79,-10.354311,0.33553442
80,80,80,66.72304,0.38998705
81,81,81,-167.33502,0.22463262
82,82,82,212.06808,0.49266866
83,83,83,242.72232,0.51432484
84,84,84,54.212524,0.3811488
85,85,85,-134.94818,0.24751288
86,86,86,-126.81319,0.25326
87,87,87,28.299963,0.36284244
88,88,88,-23.853739,0.3259975
89,89,89,-5.9570637,0.33864093
90,90,90,234.30164,0.50837594
91,91,91,123.30765,0.42996225
92,92,92,-178.21826,0.21694396
93,93,93,-65.07956,0.2968728
94,94,94,-285.81897,0.14092754
95,95,95,-28.16294,0.3229532
96,96,96,109.74333,0.42037952
97,97,97,-53.905094,0.3047672
98,98,98,67.43156,0.39048764
99,99,99,-11.24526,0.334905
100,100,100,118.67084,0.42668653
101,101,101,156.26428,0.45324507
102,102,102,-35.392326,0.31784585
103,103,103,91.46639,0.40746742
104,104,104,-21.543764,0.32762942
105,105,105,142.35341,0.4434175
106,106,106,266.04443,0.5308012
107,107,107,97.63535,0.41182563
108,108,108,-32.459244,0.319918
109,109,109,84.392044,0.40246964
110,110,110,7.6339517,0.34824255
111,111,111,-75.945114,0.2891966
112,112,112,116.94955,0.42547047
113,113,113,-167.98299,0.22417486
114,114,114,68.57395,0.3912947
115,115,115,-84.89073,0.28287685
116,116,116,21.384905,0.35795715
117,117,117,29.483175,0.3636783
118,118,118,105.292725,0.4172353
119,119,119,75.20092,0.39597642
120,120,120,160.21771,0.45603803
121,121,121,-485.3009,0.0
122,122,122,-149.57178,0.23718178
123,123,123,-204.68832,0.19824372
124,124,124,171.98515,0.46435136
125,125,125,3.8030376,0.34553614
126,126,126,264.09018,0.5294206
127,127,127,-4.2080297,0.33987656
128,128,128,62.530075,0.38702488
129,129,129,117.83801,0.42609814
130,130,130,118.534546,0.42659023
131,131,131,-3.6550887,0.3402672
132,132,132,-58.452618,0.30155453
133,133,133,298.00006,0.5533768
134,134,134,-88.23195,0.2805164
135,135,135,-264.4876,0.15599746
136,136,136,67.595535,0.39060345
137,137,137,101.41923,0.41449884
138,138,138,95.133255,0.41005796
139,139,139,-57.143898,0.3024791
140,140,140,0.87747097,0.34346932
141,141,141,-18.670586,0.32965922
142,142,142,-37.84963,0.31610987
143,143,143,62.051414,0.3866867
144,144,144,-16.116827,0.3314634
145,145,145,-34.456615,0.31850693
146,146,146,14.528121,0.35311306
147,147,147,-111.374435,0.26416695
148,148,148,33.313057,0.366384
149,149,149,-19.96961,0.32874152
150,150,150,-2.4628096,0.3411095
151,151,151,-67.99328,0.29481435
