,r_id,relationClass
0,0,M-N
1,1,M-N
2,2,M-N
3,3,M-1
4,4,M-1
5,5,M-1
6,6,M-1
7,7,M-N
8,8,M-1
9,9,M-N
10,10,M-N
11,11,M-1
12,12,M-1
13,13,M-1
14,14,M-N
15,15,M-N
16,16,M-1
17,17,M-N
18,18,M-N
19,19,M-1
20,20,M-1
21,21,M-1
22,22,M-1
23,23,M-N
24,24,M-1
25,25,M-1
26,26,M-1
27,27,M-1
28,28,M-1
29,29,M-N
30,30,1-1
31,31,1-1
32,32,M-1
33,33,1-1
34,34,M-1
35,35,M-1
36,36,1-1
37,37,M-1
38,38,M-1
39,39,M-1
40,40,M-1
41,41,M-1
42,42,1-1
43,43,1-N
44,44,M-1
45,45,M-1
46,46,1-1
47,47,1-1
48,48,1-1
49,49,M-1
50,50,1-1
