,index,r_id,freq,norm_freq
0,0,0,8366,0.13000435161009574
1,1,1,10340,0.16068320278503045
2,2,2,64345,1.0
3,3,3,15169,0.23573293547183888
4,4,4,8772,0.1363141862489121
5,5,5,2054,0.03190662688051722
6,6,6,1348,0.020934352853412906
7,7,7,5626,0.08742073853039911
8,8,8,2898,0.04502362302623399
9,9,9,1176,0.018261220937461145
10,10,10,10621,0.1650503543453935
11,11,11,11352,0.17641116498818848
12,12,12,156,0.002408927017282109
13,13,13,6470,0.10053773467611588
14,14,14,5462,0.08487193833146836
15,15,15,4301,0.06682829789879398
16,16,16,404,0.006263210244933482
17,17,17,3104,0.04822516473952505
18,18,18,1842,0.0286118363794604
19,19,19,359,0.0055638443366902894
20,20,20,2399,0.037268432177048366
21,21,21,1741,0.027042148452070123
22,22,22,4872,0.07570247420116871
23,23,23,1381,0.02144722118612458
24,24,24,1790,0.02780368021882382
25,25,25,2397,0.037237349247793115
26,26,26,391,0.006061171204774338
27,27,27,2156,0.03349185627253513
28,28,28,497,0.007708566455302748
29,29,29,707,0.010972274027104314
30,30,30,357,0.005532761407435037
31,31,31,358,0.005548302872062663
32,32,32,360,0.005579385801317917
33,33,33,772,0.011982469227900036
34,34,34,41,0.0006216585851050603
35,35,35,373,0.005781424841477061
36,36,36,61,0.0009324878776575904
37,37,37,184,0.0028440880268556508
38,38,38,76,0.001165609847071988
39,39,39,151,0.002331219694143976
40,40,40,123,0.001896058684570434
41,41,41,131,0.002020390401591446
42,42,42,51,0.0007770732313813254
43,43,43,16,0.0002331219694143976
44,44,44,17,0.0002486634340420241
45,45,45,9,0.00012433171702101205
46,46,46,2,1.5541464627626506e-05
47,47,47,2,1.5541464627626506e-05
48,48,48,1,0.0
49,49,49,2,1.5541464627626506e-05
50,50,50,1,0.0
