,index,r_id,freq,norm_freq
0,0,0,34832,1.0
1,1,1,34796,0.99896408839779
2,2,2,7382,0.21011740331491713
3,3,3,29715,0.8527566758747698
4,4,4,2921,0.08175069060773481
5,5,5,1299,0.03507711786372007
6,6,6,7402,0.21069290976058933
7,7,7,3118,0.08741942909760589
8,8,8,4805,0.13596339779005526
9,9,9,2935,0.08215354511970534
10,10,10,3116,0.08736187845303868
11,11,11,4816,0.13627992633517497
12,12,12,629,0.015797651933701657
13,13,13,923,0.02425759668508287
14,14,14,632,0.015883977900552487
15,15,15,903,0.02368209023941068
16,16,16,1138,0.03044429097605893
17,17,17,80,0.0
