,h_id,r_id,t_id,predicted_head,rank_filtered_anyburl,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,difference_psi,better_predicted_by_anyburl_t20,similar_triples
0,3919,11,39,False,1.0,1,1,1,1,1,1,1.0,0,0
1,3919,11,39,True,6960.0,1162,1111,1649,1187,108,1755,0.5260871640143653,-1,3928
2,1211,2,7345,False,68.0,26,33,22,17,27,30,0.9999999999235936,0,10
3,1211,2,7345,True,3726.0,59,126,6,8,41,112,0.3300563094962403,-1,28
4,14262,2,337,False,2.0,2,2,2,2,2,2,1.0,0,2
5,14262,2,337,True,614.0,801,1236,1701,190,357,519,1.277310924369748,1,2178
6,16366,2,599,False,16.0,14,15,17,17,10,12,1.0,0,5
7,16366,2,599,True,1173.0,307,345,280,514,169,226,0.924981950223852,0,170
8,1742,1,4570,False,7.0,2,2,2,2,3,1,0.8264867836664689,0,13
9,1742,1,4570,True,63.0,19,27,31,6,13,19,0.6769199637204576,-1,46
10,413,2,98,False,38.0,27,26,40,12,23,35,0.9999999959165689,0,5
12,8676,2,485,False,1.0,1,1,1,1,1,1,1.0,0,5
13,8676,2,485,True,27.0,31,43,26,42,18,25,1.0000003913778222,0,2502
14,13857,1,2933,False,4.0,1,1,1,1,1,1,0.5857042777363232,-1,1
15,13857,1,2933,True,252.0,48,66,37,31,56,48,0.9840135913545685,0,127
16,12150,2,21,False,4.0,2,1,3,3,2,2,0.6080940137770446,-1,4
17,12150,2,21,True,127.0,1063,508,1704,1546,170,1388,1.418974901478374,1,1252
18,12127,2,59,False,6.0,2,1,2,1,3,3,0.596677797890269,-1,4
19,12127,2,59,True,4461.0,844,529,444,703,697,1847,0.4915763977781781,-1,886
20,15225,2,309,False,1.0,1,1,1,1,1,1,1.0,0,4
21,15225,2,309,True,51.0,16,40,24,3,12,2,0.9248993119749234,0,909
22,2566,39,6410,False,1.0,1,1,1,1,1,1,1.0,0,2
23,2566,39,6410,True,1.0,1,1,1,1,1,1,1.0,0,15
24,10936,3,31,False,1.0,1,1,1,1,1,1,1.0,0,0
25,10936,3,31,True,2.0,29,29,38,27,36,17,1.1124845681015088,0,4666
26,10711,21,4607,False,268.0,129,76,154,85,228,102,0.2499968749608456,-1,0
27,10711,21,4607,True,5248.0,5501,4775,5727,2546,8497,5958,1.000075,0,10
28,13762,2,337,False,1.0,1,1,1,1,1,1,1.0,0,7
29,13762,2,337,True,56.0,61,36,9,13,230,17,1.000005516060585,0,2178
30,7121,32,6254,False,2.0,6,8,9,5,4,5,2.2073052733430094,1,0
32,11762,17,789,False,1.0,3,4,6,1,2,1,1.2519440124416796,1,1
33,11762,17,789,True,735.0,2184,3254,3846,1819,1130,871,3.059794728204333,1,243
34,16494,15,3704,False,3.0,3,3,3,3,3,3,1.0,0,1
35,16494,15,3704,True,1015.0,30,39,41,26,22,20,0.8153831949032997,0,19
36,2899,14,288,False,1.0,1,1,1,1,1,1,1.0,0,1
37,2899,14,288,True,317.0,943,1277,298,1140,654,1348,1.343867544346749,1,2440
38,8761,2,1199,False,1.0,2,1,1,2,1,3,1.0373532550693705,0,9
39,8761,2,1199,True,13.0,19,24,14,15,7,35,1.0000014270004134,0,233
40,7032,2,337,False,2.0,1,1,2,1,1,1,0.908146239725187,0,8
41,7032,2,337,True,341.0,803,724,940,605,1081,666,1.45481469444146,1,2178
42,8840,2,102,False,6.0,4,4,4,3,4,4,0.9617920691815705,0,3
43,8840,2,102,True,2446.0,1785,2124,2042,1043,2054,1664,0.9333658874627128,0,1791
44,2155,4,4559,False,38.0,25,14,34,10,33,34,0.7865395100499564,-1,0
45,2155,4,4559,True,2230.0,1391,892,2216,280,2174,1393,0.8974490491720266,0,37
46,12348,3,31,False,1.0,1,1,1,1,1,1,1.0,0,0
47,12348,3,31,True,12.0,35,43,18,20,59,37,1.0392397116088938,0,4666
48,11480,22,233,False,1.0,1,1,1,1,1,1,1.0,0,0
49,11480,22,233,True,10.0,121,32,170,218,105,78,1.5861547186902842,1,240
50,3919,3,31,False,1.0,1,1,1,1,1,1,1.0,0,0
51,3919,3,31,True,1120.0,334,585,363,198,211,311,0.7669166703147549,-1,4666
52,3280,1,1136,False,1.0,1,1,1,1,1,1,1.0,0,15
53,3280,1,1136,True,1.0,1,1,1,1,1,1,1.0,0,173
54,15658,2,708,False,65.0,24,30,22,18,29,19,0.9999999999999124,0,5
55,15658,2,708,True,9230.0,580,585,549,356,1053,355,0.005327144135898,-1,61
56,8698,3,370,False,1.0,1,1,1,1,1,1,1.0,0,1
57,8698,3,370,True,1.0,21,15,47,7,14,23,1.1116154088062469,0,564
58,14037,2,826,False,6.0,1,2,1,1,1,1,0.3606322103442566,-1,6
59,14037,2,826,True,447.0,6,1,1,2,3,22,0.5882200585545545,-1,320
60,7578,2,485,False,1.0,1,1,1,1,1,1,1.0,0,17
61,7578,2,485,True,121.0,127,53,121,64,113,282,1.000000004129227,0,2502
62,3872,4,760,False,1.0,1,1,1,1,1,1,1.0,0,1
63,3872,4,760,True,3.0,40,28,91,10,23,48,1.0000289381758103,0,79
64,12241,2,1215,False,17.0,4,5,4,4,6,2,0.6666654090536032,-1,6
65,12241,2,1215,True,1733.0,175,261,109,70,194,243,0.5314608327177726,-1,128
66,1377,13,7525,False,4.0,2,3,1,1,5,1,0.9999172872123416,0,0
67,1377,13,7525,True,238.0,237,35,23,39,1070,19,0.9999253142203576,0,56
68,8835,2,278,False,1.0,2,1,2,1,3,1,1.4161537563009354,1,10
69,8835,2,278,True,3093.0,1485,1216,2107,1323,2450,330,0.8227517830442617,0,4431
70,9308,13,5127,False,22.0,6,3,6,6,4,9,0.902995801462366,0,0
