,h_id,r_id,t_id,predicted_head,rank_filtered_anyburl,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,difference_psi,better_predicted_by_anyburl_t0,better_predicted_by_anyburl_t20,similar_triples
0,3919,11,39,False,1.0,1,1,1,1,1,1,1.0,0,0,0
1,3919,11,39,True,6960.0,3108,2350,3773,2219,2989,4208,0.5805339927688911,-1,-1,3928
2,1211,2,7345,False,68.0,17,9,23,14,18,19,0.9999894057954334,-1,0,10
3,1211,2,7345,True,3726.0,37,11,60,9,35,71,0.2974023897962565,-1,-1,28
4,14262,2,337,False,2.0,1,1,2,1,2,1,0.7536847069920999,-1,-1,2
5,14262,2,337,True,614.0,785,333,1149,836,834,772,1.2378276403342694,1,1,2178
6,16366,2,599,False,16.0,18,33,8,19,13,19,1.0000000000000002,1,0,5
7,16366,2,599,True,1173.0,1139,2526,305,896,502,1466,0.9999953638381116,-1,0,170
8,1742,1,4570,False,7.0,2,1,2,1,3,1,0.8264867836664689,-1,0,13
9,1742,1,4570,True,63.0,3,4,5,2,4,2,0.6769033253307416,-1,-1,46
10,413,2,98,False,38.0,20,10,34,25,23,8,0.841747942628077,-1,0,5
12,8676,2,485,False,1.0,1,1,1,1,1,1,1.0,0,0,5
13,8676,2,485,True,27.0,34,27,40,32,42,29,1.0000011882904718,1,0,2502
14,13857,1,2933,False,4.0,1,1,1,1,1,1,0.5857042777363232,-1,-1,1
15,13857,1,2933,True,252.0,34,45,15,41,37,32,0.9840135913545504,-1,0,127
16,12150,2,21,False,4.0,3,3,2,3,3,2,0.8315566084295726,-1,0,4
17,12150,2,21,True,127.0,994,921,1009,1549,674,816,1.409788888888889,1,1,1252
18,12127,2,59,False,6.0,2,2,4,1,2,1,0.596677797890269,-1,-1,4
19,12127,2,59,True,4461.0,1434,1947,2364,743,1681,437,0.5245234455629837,-1,-1,886
20,15225,2,309,False,1.0,1,1,1,1,1,1,1.0,0,0,4
21,15225,2,309,True,51.0,3,4,3,1,2,3,0.9248762631717612,-1,0,909
22,2566,39,6410,False,1.0,1,1,1,1,1,1,1.0,0,0,2
23,2566,39,6410,True,1.0,1,1,1,1,1,1,1.0,0,0,15
24,10936,3,31,False,1.0,1,1,1,1,1,1,1.0,0,0,0
25,10936,3,31,True,2.0,30,22,31,41,23,31,1.1124846468174243,1,0,4666
27,10711,21,4607,True,5248.0,6838,5841,11326,12765,2898,1361,1.3334333333333332,1,1,10
28,13762,2,337,False,1.0,1,1,1,1,1,1,1.0,0,0,7
29,13762,2,337,True,56.0,23,5,28,24,45,15,0.9999701347265256,-1,0,2178
30,7121,32,6254,False,2.0,11,9,7,2,34,4,2.909942582399196,1,1,0
32,11762,17,789,False,1.0,10,14,4,12,15,5,2.259362539988332,1,1,1
33,11762,17,789,True,735.0,1703,2073,724,1677,3212,831,2.5146252977744674,1,1,243
34,16494,15,3704,False,3.0,2,1,2,1,1,3,1.0,0,0,1
35,16494,15,3704,True,1015.0,13,1,19,1,21,24,0.2819359286821858,-1,-1,19
36,2899,14,288,False,1.0,1,1,1,1,1,1,1.0,0,0,1
37,2899,14,288,True,317.0,258,354,210,247,271,209,0.9999811742597048,-1,0,2440
38,8761,2,1199,False,1.0,1,1,1,1,1,2,1.0,0,0,9
39,8761,2,1199,True,13.0,3,1,1,3,6,2,0.9999818491244492,-1,0,233
40,7032,2,337,False,2.0,2,6,1,2,1,1,1.0,0,0,8
41,7032,2,337,True,341.0,674,1479,243,424,575,648,1.2487640511946458,1,1,2178
42,8840,2,102,False,6.0,3,3,4,2,2,3,0.7712897000780644,-1,-1,3
43,8840,2,102,True,2446.0,1209,1496,1180,846,691,1830,0.8345547479532339,-1,0,1791
44,2155,4,4559,False,38.0,27,10,12,67,28,19,0.7865395137614782,-1,-1,0
45,2155,4,4559,True,2230.0,2560,849,1092,6056,3386,1419,1.2280980321774664,1,1,37
46,12348,3,31,False,1.0,1,1,1,1,1,1,1.0,0,0,0
47,12348,3,31,True,12.0,114,129,113,95,144,91,1.0703120085960889,1,0,4666
48,11480,22,233,False,1.0,2,1,1,5,1,1,1.5862143911412994,1,1,0
49,11480,22,233,True,10.0,337,216,157,916,91,306,2.51085359898589,1,1,240
50,3919,3,31,False,1.0,1,1,1,1,1,1,1.0,0,0,0
51,3919,3,31,True,1120.0,944,1082,1260,1200,494,684,0.9662926368517236,-1,0,4666
52,3280,1,1136,False,1.0,1,1,1,1,1,1,1.0,0,0,15
