,h_id,r_id,t_id,predicted_head,rank_filtered_anyburl,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,difference_psi,better_predicted_by_anyburl_t0,better_predicted_by_anyburl_t20,similar_triples
0,6180,148,2861,False,1,1,1,1,1,1,1,1.0,0,0,11
1,6180,148,2861,True,1,1,1,1,1,1,1,1.0,0,0,43
2,1454,92,5951,False,70,34,29,30,35,33,43,0.999988440583314,-1,0,3
3,1454,92,5951,True,31,28,28,24,27,26,35,0.9999999999997964,-1,0,8
4,6651,13,637,False,1,3,3,2,5,4,2,1.171907040328093,1,0,33
5,6651,13,637,True,1,7,9,6,6,7,9,1.0164625675913803,1,0,362
6,1124,15,14037,False,154,131,103,148,145,143,116,0.7848436609824054,-1,-1,205
7,1124,15,14037,True,1,3,1,4,3,4,1,8.55982243367813,1,1,1
8,1124,15,13245,False,193,124,117,121,122,130,128,0.7847657377474953,-1,-1,205
9,1124,15,13245,True,1,1,1,1,1,1,1,1.0,0,0,1
10,140,6,6827,False,1387,873,531,1076,691,1423,646,0.6666777788888826,-1,-1,11
11,140,6,6827,True,602,380,179,426,485,513,295,0.20549251382181385,-1,-1,8
12,1899,7,6401,False,1287,631,1016,909,323,662,245,0.4216460854606341,-1,-1,10
13,1899,7,6401,True,43,33,66,35,26,30,9,0.9999999938802075,-1,0,0
14,98,37,2794,False,50,18,13,34,15,11,18,0.9265840753717848,-1,0,110
15,98,37,2794,True,2,1,1,1,1,1,1,0.8771929824561404,-1,0,1
16,9317,31,3257,False,14,4,4,6,4,2,5,0.8352783131308088,-1,0,4
17,9317,31,3257,True,224,189,107,293,286,100,157,1.0,0,0,138
18,3326,40,8901,False,4,117,128,129,111,128,90,2.3123771102876898,1,1,7
19,3326,40,8901,True,42,46,43,56,53,47,33,1.0000000000024962,1,0,4
20,411,13,68,False,1,2,2,2,1,2,2,1.0208139173656416,1,0,23
21,411,13,68,True,22,11,8,16,20,6,6,0.9672517380347548,-1,0,290
24,10518,73,302,False,2,2,2,2,2,2,2,1.0,0,0,1
25,10518,73,302,True,5,98,96,98,96,107,91,1.352526499870637,1,1,93
26,422,154,2438,False,1,1,1,1,1,1,1,1.0,0,0,0
27,422,154,2438,True,16,51,120,26,10,81,17,1.1413311122117313,1,0,455
28,2208,66,2388,False,480,69,136,30,66,59,53,0.5799605602459065,-1,-1,3
29,2208,66,2388,True,1355,1004,1381,320,1933,525,861,0.7631733369373316,-1,-1,16
30,2868,95,2940,False,3,4,4,4,4,4,6,1.0000579395508375,1,0,1
31,2868,95,2940,True,14,269,284,271,267,262,261,1.6414025945066955,1,1,95
32,12013,33,90,False,1,1,1,1,1,1,1,1.0,0,0,0
33,12013,33,90,True,218,28,25,29,30,30,25,0.553507630645212,-1,-1,373
34,7603,103,4048,False,12,243,250,234,173,346,214,3.380428276825454,1,1,3
35,7603,103,4048,True,1,12,12,8,7,23,9,3.3804702120735484,1,1,0
36,1718,157,8277,False,34,38,36,34,31,43,44,1.0,0,0,133
37,1718,157,8277,True,1,1,1,1,1,1,1,1.0,0,0,0
38,1718,157,10168,False,36,47,45,47,47,48,48,1.000096732441428,1,0,133
39,1718,157,10168,True,1,1,1,1,1,1,1,1.0,0,0,0
40,4143,101,1467,False,1,1,2,2,1,1,1,1.0,0,0,24
41,4143,101,1467,True,7,3,3,1,2,5,3,0.9999999984655915,-1,0,126
42,1234,18,2357,False,2,1,1,1,1,1,1,0.9999999979286506,-1,0,11
