,h_id,r_id,t_id,predicted_head,rank_filtered_anyburl,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,difference_psi,better_predicted_by_anyburl_t0,better_predicted_by_anyburl_t20,similar_triples
0,1678,7,9202,False,8,10,5,2,11,13,20,1.076923076923077,1,0,229
1,1678,7,9202,True,1,1,1,1,1,1,1,1.0,0,0,0
2,17935,9,35175,False,1,1,1,1,1,1,1,1.0,0,0,0
3,17935,9,35175,True,1,1,1,1,1,1,1,1.0,0,0,0
8,18671,0,11241,False,3,2,2,1,2,2,1,0.9999999884680011,-1,0,0
9,18671,0,11241,True,22,8,7,9,12,7,6,0.06593548860096757,-1,-1,14
10,15582,0,4030,False,1,2,2,2,2,2,2,1.0000046287151434,1,0,0
11,15582,0,4030,True,17,29,31,38,20,21,34,1.0000046287151434,1,0,25
12,19165,0,2969,False,48,728,242,3,645,745,2005,11716.051521565169,1,1,0
14,16748,6,29001,False,496,2,1,4,1,2,1,6.654221115951048e-05,-1,-1,1
16,31740,0,1183,False,1,1,1,1,1,1,1,1.0,0,0,0
17,31740,0,1183,True,15,13,1,5,25,12,23,1.0,0,0,43
18,26184,1,32091,False,9,18,7,7,36,20,21,1.0820125642988832,1,0,3
19,26184,1,32091,True,1,4,2,1,11,2,5,5.07741876116602,1,1,0
20,4194,1,6975,False,1,1,1,1,1,1,1,1.0,0,0,0
21,4194,1,6975,True,1,1,1,1,1,1,1,1.0,0,0,1
24,24512,1,24859,False,1,1,1,1,1,1,1,1.0,0,0,0
25,24512,1,24859,True,1,1,1,1,1,1,1,1.0,0,0,0
28,5945,6,10270,False,80,122,117,15,386,48,43,14.947630922693266,1,1,3
29,5945,6,10270,True,10,37,30,7,130,9,9,10.0,1,1,1
32,20774,0,8060,False,12,182,86,693,68,16,46,196.03909625935162,1,1,0
34,12274,1,9268,False,1,1,1,1,1,1,1,1.0,0,0,0
35,12274,1,9268,True,1,1,1,1,1,1,1,1.0,0,0,1
36,12842,1,15886,False,1,1,1,1,1,1,1,1.0,0,0,4
37,12842,1,15886,True,1,1,1,1,1,1,1,1.0,0,0,1
38,13394,1,3789,False,1,1,1,1,1,1,1,1.0,0,0,2
39,13394,1,3789,True,1,1,1,1,1,1,1,1.0,0,0,0
40,38200,3,8055,False,1,1,1,1,1,1,1,1.0,0,0,1
41,38200,3,8055,True,1,1,1,1,1,1,1,1.0,0,0,2
44,38212,2,121,False,1,2,3,2,1,2,2,1.0000032920429922,1,0,0
45,38212,2,121,True,403,439,516,509,313,517,340,1.0,0,0,473
48,18270,1,18269,False,1,1,1,1,1,1,1,1.0,0,0,2
49,18270,1,18269,True,1,1,1,1,1,1,1,1.0,0,0,0
50,13049,0,4990,False,2,3,3,3,4,2,2,1.0000257165232533,1,0,0
51,13049,0,4990,True,27,32,48,36,28,12,37,1.0000257001939872,1,0,18
52,29179,1,10971,False,1,1,1,1,1,1,1,1.0,0,0,0
