,h_id,r_id,t_id,predicted_head,rank_filtered_anyburl,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,difference_psi,better_predicted_by_anyburl_t0,better_predicted_by_anyburl_t20,similar_triples
0,15833,1,3098,False,1.0,1,1,1,1,1,1,1.0,0,0,12
1,15833,1,3098,True,8.0,73,66,54,121,76,48,1.00002492761058,1,0,551
2,4065,13,65442,False,7.0,6,4,2,5,9,11,0.9375,-1,0,0
4,47839,1,1433,False,1.0,2,3,2,2,2,2,1.01219188974291,1,0,3
5,47839,1,1433,True,4.0,1,2,2,1,1,1,0.9999675966805838,-1,0,77
6,67943,2,15647,False,1.0,1,1,1,1,1,1,1.0,0,0,5
7,67943,2,15647,True,1.0,2,2,2,1,3,2,1.0000142953381752,1,0,58
8,28604,24,14533,False,1.0,1,2,1,1,2,1,1.0,0,0,0
10,86509,2,164,False,1.0,1,1,1,1,1,1,1.0,0,0,7
11,86509,2,164,True,1.0,1,1,1,1,1,1,1.0,0,0,511
12,88231,1,1542,False,2.0,1,1,1,1,3,1,0.9921387811002054,-1,0,3
13,88231,1,1542,True,26.0,29,28,30,19,36,32,1.000010943511157,1,0,356
14,71019,3,75381,False,4.0,9,3,36,2,1,1,24.008475920026523,1,1,0
16,93245,7,23,False,1.0,1,1,1,1,1,1,1.0,0,0,0
18,61033,2,950,False,1.0,1,1,1,1,1,1,1.0,0,0,7
19,61033,2,950,True,2.0,1,1,1,1,1,1,0.9999895782066646,-1,0,115
20,80933,0,2964,False,1.0,3,2,1,3,5,2,1.00007985119403,1,0,2
21,80933,0,2964,True,176.0,200,223,150,198,148,279,1.252334228435796,1,1,272
22,8070,2,2175,False,1.0,1,1,1,1,1,1,1.0,0,0,7
23,8070,2,2175,True,2.0,1,1,2,1,1,1,0.9999933103073172,-1,0,501
24,87716,1,12933,False,1.0,1,1,2,1,1,1,1.0,0,0,2
25,87716,1,12933,True,85.0,63,59,51,73,70,64,0.999992148527028,-1,0,257
26,78975,2,7607,False,1.0,1,1,1,1,1,1,1.0,0,0,6
27,78975,2,7607,True,7.0,5,2,2,8,1,11,0.9999980344103188,-1,0,158
28,21530,9,628,False,1.0,2,1,3,1,1,3,1.3302927024859663,1,1,4
29,21530,9,628,True,26.0,192,17,600,32,78,234,5.499701831975526,1,1,1179
