,h_id,r_id,t_id,predicted_head,rank_filtered_anyburl,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,difference_psi,better_predicted_by_anyburl_t0,better_predicted_by_anyburl_t20,similar_triples
0,550,12,13179,False,1.0,1,1,1,1,1,1,1.0,0,0,229
1,550,12,13179,True,1.0,1,1,1,1,1,1,1.0,0,0,0
2,21334,16,27997,False,1.0,1,1,1,1,1,1,1.0,0,0,0
3,21334,16,27997,True,1.0,1,1,1,1,1,1,1.0,0,0,0
4,19840,0,32348,False,1.0,1,1,1,1,1,1,1.0,0,0,0
5,19840,0,32348,True,1.0,1,1,1,1,1,1,1.0,0,0,0
6,1080,13,29870,False,1.0,1,1,1,1,1,1,1.0,0,0,442
7,1080,13,29870,True,1.0,1,1,1,1,1,1,1.0,0,0,0
8,17995,6,32531,False,1.0,1,1,1,1,1,1,1.0,0,0,2
9,17995,6,32531,True,1.0,1,1,1,1,1,1,1.0,0,0,0
10,29076,8,10654,False,1.0,1,1,1,1,1,1,1.0,0,0,0
11,29076,8,10654,True,1.0,1,1,1,1,1,1,1.0,0,0,1
12,24653,1,15914,False,1.0,1,1,1,1,1,1,1.0,0,0,0
13,24653,1,15914,True,1.0,1,1,1,1,1,1,1.0,0,0,14
14,8057,8,3576,False,1.0,1,1,1,1,1,1,1.0,0,0,0
15,8057,8,3576,True,1.0,1,1,1,1,1,1,1.0,0,0,1
16,21116,1,6110,False,1.0,1,1,1,1,1,1,1.0,0,0,0
17,21116,1,6110,True,1.0,1,1,1,1,1,1,1.0,0,0,25
18,21040,1,56,False,1.0,1,1,1,1,1,1,1.0,0,0,0
19,21040,1,56,True,1.0,1,1,1,1,1,1,1.0,0,0,9
20,22537,11,25076,False,501.0,3,2,3,6,2,4,7.193106430552773e-05,-1,-1,1
22,33535,1,1850,False,1.0,1,1,1,1,1,1,1.0,0,0,0
23,33535,1,1850,True,1.0,1,1,1,1,1,1,1.0,0,0,43
24,32396,3,37119,False,17.0,12,12,11,16,7,12,0.9456029338334792,-1,0,3
25,32396,3,37119,True,2.0,1,1,1,2,1,1,0.6189391647835448,-1,-1,0
26,6336,3,10164,False,1.0,1,1,1,1,1,1,1.0,0,0,0
27,6336,3,10164,True,1.0,1,1,1,1,1,1,1.0,0,0,1
28,10038,0,19001,False,1.0,1,1,1,1,1,1,1.0,0,0,2
29,10038,0,19001,True,1.0,1,1,1,1,1,1,1.0,0,0,0
30,12428,1,5208,False,1.0,1,1,1,1,1,1,1.0,0,0,0
31,12428,1,5208,True,1.0,1,1,1,1,1,1,1.0,0,0,27
32,30829,3,31172,False,1.0,1,1,1,1,1,1,1.0,0,0,0
33,30829,3,31172,True,1.0,1,1,1,1,1,1,1.0,0,0,0
36,12237,0,38574,False,1.0,1,1,1,1,1,1,1.0,0,0,6
37,12237,0,38574,True,1.0,1,1,1,1,1,1,1.0,0,0,0
38,6661,11,14652,False,1.0,1,1,1,1,1,1,1.0,0,0,3
39,6661,11,14652,True,1.0,1,1,1,1,1,1,1.0,0,0,1
40,7635,1,24038,False,1.0,1,1,1,1,1,1,1.0,0,0,0
41,7635,1,24038,True,1.0,1,1,1,1,1,1,1.0,0,0,5
42,27036,1,11657,False,1.0,1,1,1,1,1,1,1.0,0,0,0
43,27036,1,11657,True,1.0,1,1,1,1,1,1,1.0,0,0,0
44,3177,0,34170,False,1.0,1,1,1,1,1,1,1.0,0,0,5
45,3177,0,34170,True,1.0,1,1,1,1,1,1,1.0,0,0,0
47,6998,0,18093,True,36.0,5,13,1,6,2,3,0.0222222222222222,-1,-1,0
48,27605,2,12311,False,1.0,1,1,1,1,1,1,1.0,0,0,0
49,27605,2,12311,True,1.0,1,1,1,1,1,1,1.0,0,0,3
50,2080,0,7321,False,1.0,1,1,1,1,1,1,1.0,0,0,13
51,2080,0,7321,True,1.0,1,1,1,1,1,1,1.0,0,0,0
52,1723,0,24423,False,1.0,1,1,1,1,1,1,1.0,0,0,3
53,1723,0,24423,True,1.0,1,1,1,1,1,1,1.0,0,0,0
54,10777,0,37076,False,1.0,1,1,1,1,1,1,1.0,0,0,11
55,10777,0,37076,True,1.0,1,1,1,1,1,1,1.0,0,0,0
56,17214,3,13255,False,1.0,1,1,1,1,1,1,1.0,0,0,0
57,17214,3,13255,True,1.0,1,1,1,1,1,1,1.0,0,0,1
58,17901,3,18975,False,1.0,1,1,1,1,1,1,1.0,0,0,4
59,17901,3,18975,True,1.0,1,1,1,1,1,1,1.0,0,0,1
60,18601,3,5757,False,1.0,1,1,1,1,1,1,1.0,0,0,2
61,18601,3,5757,True,1.0,1,1,1,1,1,1,1.0,0,0,0
62,40319,5,11651,False,1.0,1,1,1,1,1,1,1.0,0,0,1
63,40319,5,11651,True,1.0,1,1,1,1,1,1,1.0,0,0,2
64,16313,1,931,False,1.0,1,1,1,1,1,1,1.0,0,0,0
65,16313,1,931,True,1.0,1,1,1,1,1,1,1.0,0,0,77
66,299,0,12120,False,1.0,1,1,1,1,1,1,1.0,0,0,243
67,299,0,12120,True,1.0,1,1,1,1,1,1,1.0,0,0,0
68,35645,4,221,False,1.0,1,1,1,1,1,1,1.0,0,0,0
69,35645,4,221,True,1.0,1,1,1,1,1,1,1.0,0,0,473
70,3435,0,35394,False,1.0,1,1,1,1,1,1,1.0,0,0,4
71,3435,0,35394,True,1.0,1,1,1,1,1,1,1.0,0,0,0
72,25233,1,2056,False,1.0,1,1,1,1,1,1,1.0,0,0,0
73,25233,1,2056,True,1.0,1,1,1,1,1,1,1.0,0,0,17
74,1443,0,15203,False,1.0,1,1,1,1,1,1,1.0,0,0,9
75,1443,0,15203,True,1.0,1,1,1,1,1,1,1.0,0,0,0
76,21258,3,3534,False,1.0,1,1,1,1,1,1,1.0,0,0,2
77,21258,3,3534,True,1.0,1,1,1,1,1,1,1.0,0,0,0
78,18162,1,5619,False,1.0,1,1,1,1,1,1,1.0,0,0,0
79,18162,1,5619,True,1.0,1,1,1,1,1,1,1.0,0,0,18
80,34949,3,15573,False,1.0,1,1,1,1,1,1,1.0,0,0,0
81,34949,3,15573,True,1.0,1,1,1,1,1,1,1.0,0,0,0
82,931,0,1285,False,1.0,1,1,1,1,1,1,1.0,0,0,76
83,931,0,1285,True,1.0,1,1,1,1,1,1,1.0,0,0,0
84,13868,0,36542,False,1.0,1,1,1,1,1,1,1.0,0,0,1
85,13868,0,36542,True,1.0,1,1,1,1,1,1,1.0,0,0,0
86,30234,1,9909,False,1.0,1,1,1,1,1,1,1.0,0,0,0
87,30234,1,9909,True,1.0,1,1,1,1,1,1,1.0,0,0,1
88,36096,1,6624,False,1.0,1,1,1,1,1,1,1.0,0,0,0
89,36096,1,6624,True,1.0,1,1,1,1,1,1,1.0,0,0,1
90,3657,0,115,False,1.0,1,1,1,1,1,1,1.0,0,0,6
91,3657,0,115,True,1.0,1,1,1,1,1,1,1.0,0,0,0
92,15964,1,5515,False,1.0,1,1,1,1,1,1,1.0,0,0,0
93,15964,1,5515,True,1.0,1,1,1,1,1,1,1.0,0,0,5
94,39282,1,16119,False,1.0,1,1,1,1,1,1,1.0,0,0,0
95,39282,1,16119,True,1.0,1,1,1,1,1,1,1.0,0,0,6
96,19261,1,19260,False,1.0,1,1,1,1,1,1,1.0,0,0,0
97,19261,1,19260,True,1.0,1,1,1,1,1,1,1.0,0,0,2
98,32049,15,5185,False,1.0,1,1,1,1,1,1,1.0,0,0,0
99,32049,15,5185,True,1.0,1,1,1,1,1,1,1.0,0,0,65
100,26345,1,15625,False,1.0,41,2,55,44,103,2,160.51122194513712,1,1,0
101,26345,1,15625,True,3.0,48,2,62,35,138,2,525.0485,1,1,1
102,14045,10,214,False,1.0,1,1,1,1,1,1,1.0,0,0,0
103,14045,10,214,True,2.0,1,2,1,1,1,2,0.9999921555771254,-1,0,276
104,8448,3,622,False,1.0,1,1,1,1,1,1,1.0,0,0,2
105,8448,3,622,True,1.0,1,1,1,1,1,1,1.0,0,0,1
106,34777,8,14070,False,1.0,1,1,1,1,1,1,1.0,0,0,0
107,34777,8,14070,True,1.0,1,1,1,1,1,1,1.0,0,0,2
108,1957,11,12669,False,1.0,1,1,1,1,1,1,1.0,0,0,0
109,1957,11,12669,True,1.0,1,1,1,1,1,1,1.0,0,0,0
110,38739,2,4202,False,1.0,1,1,1,1,1,1,1.0,0,0,0
111,38739,2,4202,True,16.0,1,2,1,1,1,1,0.9999356984499598,-1,0,44
112,37114,8,19223,False,1.0,1,1,1,1,1,1,1.0,0,0,0
113,37114,8,19223,True,1.0,1,1,1,1,1,1,1.0,0,0,2
114,31907,0,13671,False,1.0,1,1,1,1,1,1,1.0,0,0,1
115,31907,0,13671,True,1.0,1,1,1,1,1,1,1.0,0,0,0
116,8665,2,8664,False,1.0,1,1,1,1,1,1,1.0,0,0,0
117,8665,2,8664,True,1.0,1,1,1,1,1,1,1.0,0,0,0
118,19590,3,16848,False,1.0,1,1,1,1,1,1,1.0,0,0,0
119,19590,3,16848,True,1.0,1,1,1,1,1,1,1.0,0,0,3
120,4824,0,18503,False,1.0,1,1,1,1,1,1,1.0,0,0,29
121,4824,0,18503,True,1.0,1,1,1,1,1,1,1.0,0,0,0
122,17337,1,1055,False,1.0,1,1,1,1,1,1,1.0,0,0,0
123,17337,1,1055,True,1.0,1,1,1,1,1,1,1.0,0,0,19
124,15594,3,6468,False,1.0,1,1,1,1,1,1,1.0,0,0,4
125,15594,3,6468,True,1.0,1,1,1,1,1,1,1.0,0,0,1
126,22058,3,4277,False,1.0,1,1,1,1,1,1,1.0,0,0,1
127,22058,3,4277,True,1.0,1,1,1,1,1,1,1.0,0,0,7
128,34480,2,14477,False,1.0,1,1,1,1,1,1,1.0,0,0,0
129,34480,2,14477,True,1.0,1,1,1,1,1,1,1.0,0,0,3
130,11564,1,5030,False,1.0,1,1,1,1,1,1,1.0,0,0,1
131,11564,1,5030,True,1.0,1,1,1,1,1,1,1.0,0,0,13
132,36153,1,9190,False,1.0,1,1,1,1,1,1,1.0,0,0,0
133,36153,1,9190,True,1.0,1,1,1,1,1,1,1.0,0,0,10
134,26531,1,77,False,1.0,1,1,1,1,1,1,1.0,0,0,0
135,26531,1,77,True,1.0,1,1,1,1,1,1,1.0,0,0,3
136,8809,6,20885,False,1.0,1,1,1,1,1,1,1.0,0,0,1
137,8809,6,20885,True,1.0,1,1,1,1,1,1,1.0,0,0,0
138,6998,0,35682,False,1.0,1,1,1,1,1,1,1.0,0,0,29
139,6998,0,35682,True,1.0,1,1,1,1,1,1,1.0,0,0,0
140,19576,1,5876,False,1.0,1,1,1,1,1,1,1.0,0,0,0
141,19576,1,5876,True,1.0,1,1,1,1,1,1,1.0,0,0,5
142,4715,0,40692,False,1.0,1,1,1,1,1,1,1.0,0,0,2
143,4715,0,40692,True,1.0,1,1,1,1,1,1,1.0,0,0,0
144,299,0,20286,False,1.0,1,1,1,1,1,1,1.0,0,0,243
145,299,0,20286,True,1.0,1,1,1,1,1,1,1.0,0,0,0
146,21296,1,27102,False,1.0,1,1,1,1,1,1,1.0,0,0,0
147,21296,1,27102,True,1.0,1,1,1,1,1,1,1.0,0,0,1
148,37049,8,500,False,1.0,1,1,1,1,1,1,1.0,0,0,0
149,37049,8,500,True,1.0,1,1,1,1,1,1,1.0,0,0,6
150,13034,1,11460,False,1.0,1,1,1,1,1,1,1.0,0,0,0
151,13034,1,11460,True,1.0,1,1,1,1,1,1,1.0,0,0,14
152,17116,3,16103,False,1.0,1,1,1,1,1,1,1.0,0,0,0
153,17116,3,16103,True,3.0,1,1,1,1,1,1,0.6545148756016934,-1,-1,1
154,22441,1,17860,False,1.0,1,1,1,1,1,1,1.0,0,0,0
155,22441,1,17860,True,1.0,1,1,1,1,1,1,1.0,0,0,4
156,15144,0,18680,False,1.0,1,1,1,1,1,1,1.0,0,0,1
157,15144,0,18680,True,1.0,1,1,1,1,1,1,1.0,0,0,0
158,19262,1,13376,False,2.0,2,2,2,2,2,2,1.0,0,0,0
159,19262,1,13376,True,4.0,1,1,1,1,1,1,0.99999981265774,-1,0,1
160,5085,3,983,False,1.0,1,1,1,1,1,1,1.0,0,0,1
161,5085,3,983,True,1.0,1,1,1,1,1,1,1.0,0,0,5
162,37087,3,36981,False,1.0,1,1,1,1,1,1,1.0,0,0,0
163,37087,3,36981,True,1.0,1,1,1,1,1,1,1.0,0,0,0
164,8921,1,15672,False,1.0,1,1,1,1,1,1,1.0,0,0,0
165,8921,1,15672,True,1.0,1,1,1,1,1,1,1.0,0,0,0
166,16499,6,17925,False,1.0,1,1,1,1,1,1,1.0,0,0,3
167,16499,6,17925,True,1.0,1,1,1,1,1,1,1.0,0,0,0
168,14556,1,1277,False,1.0,1,1,1,1,1,1,1.0,0,0,0
