,h,h_id,r,r_id,t,t_id,predicted_head,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,rank_filtered_anyburl,anyburl_confidence_anyburl,anyburl_confidence_kge,difference_psi
0,6845599,550,_member_of_domain_usage,12,3754979,13179,False,1,1,1,1,1,1,1,0.9187817258883249,0.9187817258883249,1.0
1,6845599,550,_member_of_domain_usage,12,3754979,13179,True,1,1,1,1,1,1,1,0.9187817258883249,0.9187817258883249,1.0
2,789448,21334,_verb_group,16,1062739,27997,False,1,1,1,1,1,1,1,0.9250936329588015,0.9250936329588015,1.0
3,789448,21334,_verb_group,16,1062739,27997,True,1,1,1,1,1,1,1,0.9250936329588015,0.9250936329588015,1.0
4,10217831,19840,_hyponym,0,10682169,32348,False,1,1,1,1,1,1,1,0.9456359102244389,0.9456359102244389,1.0
5,10217831,19840,_hyponym,0,10682169,32348,True,1,1,1,1,1,1,1,0.9456359102244389,0.9456359102244389,1.0
6,8860123,1080,_member_of_domain_region,13,5688486,29870,False,1,1,1,1,1,1,1,0.9350912778904665,0.9350912778904665,1.0
7,8860123,1080,_member_of_domain_region,13,5688486,29870,True,1,1,1,1,1,1,1,0.9350912778904665,0.9350912778904665,1.0
8,2233096,17995,_member_meronym,6,2233338,32531,False,1,1,1,1,1,1,1,0.9316708229426434,0.9316708229426434,1.0
9,2233096,17995,_member_meronym,6,2233338,32531,True,1,1,1,1,1,1,1,0.9316708229426434,0.9316708229426434,1.0
10,1459242,29076,_part_of,8,1461646,10654,False,1,1,1,1,1,1,1,0.9354838709677419,0.9354838709677419,1.0
11,1459242,29076,_part_of,8,1461646,10654,True,1,1,1,1,1,1,1,0.9354838709677419,0.9354838709677419,1.0
12,1371092,24653,_hypernym,1,1352059,15914,False,1,1,1,1,1,1,1,0.9326683291770573,0.9326683291770573,1.0
13,1371092,24653,_hypernym,1,1352059,15914,True,1,1,1,1,1,1,1,0.9326683291770573,0.9326683291770573,1.0
14,3902220,8057,_part_of,8,3918480,3576,False,1,1,1,1,1,1,1,0.9354838709677419,0.9354838709677419,1.0
15,3902220,8057,_part_of,8,3918480,3576,True,1,1,1,1,1,1,1,0.9354838709677419,0.9354838709677419,1.0
16,2314321,21116,_hypernym,1,8102555,6110,False,1,1,1,1,1,1,1,0.9326683291770573,0.9326683291770573,1.0
17,2314321,21116,_hypernym,1,8102555,6110,True,1,1,1,1,1,1,1,0.9326683291770573,0.9326683291770573,1.0
18,8621598,21040,_hypernym,1,8620061,56,False,1,1,1,1,1,1,1,0.9326683291770573,0.9326683291770573,1.0
19,8621598,21040,_hypernym,1,8620061,56,True,1,1,1,1,1,1,1,0.9326683291770573,0.9326683291770573,1.0
20,3239726,22537,_has_part,11,3027250,25076,False,3,2,3,6,2,4,501,4.148516905206389e-06,0.05767350928641251,7.193106430552773e-05
21,3239726,22537,_has_part,11,3027250,25076,True,9,2,9,15,13,8,,,0.06034912718204489,
22,12400489,33535,_hypernym,1,12651821,1850,False,1,1,1,1,1,1,1,0.9326683291770573,0.9326683291770573,1.0
23,12400489,33535,_hypernym,1,12651821,1850,True,1,1,1,1,1,1,1,0.9326683291770573,0.9326683291770573,1.0
24,779360,32396,_derivationally_related_form,3,15274695,37119,False,12,12,11,16,7,12,17,0.03442999234889059,0.036410623441396506,0.9456029338334793
25,779360,32396,_derivationally_related_form,3,15274695,37119,True,1,1,1,2,1,1,2,0.03442999234889059,0.055627425614489,0.6189391647835448
26,7359599,6336,_derivationally_related_form,3,555447,10164,False,1,1,1,1,1,1,1,0.9316708229426434,0.9316708229426434,1.0
27,7359599,6336,_derivationally_related_form,3,555447,10164,True,1,1,1,1,1,1,1,0.9316708229426434,0.9316708229426434,1.0
28,5058580,10038,_hyponym,0,5058140,19001,False,1,1,1,1,1,1,1,0.9456359102244389,0.9456359102244389,1.0
29,5058580,10038,_hyponym,0,5058140,19001,True,1,1,1,1,1,1,1,0.9456359102244389,0.9456359102244389,1.0
30,10686313,12428,_hypernym,1,9610660,5208,False,1,1,1,1,1,1,1,0.9326683291770573,0.9326683291770573,1.0
31,10686313,12428,_hypernym,1,9610660,5208,True,1,1,1,1,1,1,1,0.9326683291770573,0.9326683291770573,1.0
32,13286099,30829,_derivationally_related_form,3,2234988,31172,False,1,1,1,1,1,1,1,0.9316708229426434,0.9316708229426434,1.0
33,13286099,30829,_derivationally_related_form,3,2234988,31172,True,1,1,1,1,1,1,1,0.9316708229426434,0.9316708229426434,1.0
34,1444326,37815,_hypernym,1,1441510,7557,False,20095,40743,21020,23896,14387,430,,,,
35,1444326,37815,_hypernym,1,1441510,7557,True,20138,40676,21804,20979,16494,738,,,,
36,15269513,12237,_hyponym,0,15297672,38574,False,1,1,1,1,1,1,1,0.9456359102244389,0.9456359102244389,1.0
37,15269513,12237,_hyponym,0,15297672,38574,True,1,1,1,1,1,1,1,0.9456359102244389,0.9456359102244389,1.0
