,h,h_id,r,r_id,t,t_id,predicted_head,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,rank_filtered_anyburl,anyburl_confidence_anyburl,anyburl_confidence_kge,difference_psi
0,6845599,1678,_member_of_domain_usage,7,3754979,9202,False,18,21,23,26,16,6,152,0.21108179419525067,0.38461538461538464,0.5488126649076517
1,6845599,1678,_member_of_domain_usage,7,3754979,9202,True,1,1,1,1,1,1,1,0.21108179419525067,0.21108179419525067,1.0
2,789448,17935,_verb_group,9,1062739,35175,False,1,1,1,1,1,1,1,0.9191919191919192,0.9191919191919192,1.0
3,789448,17935,_verb_group,9,1062739,35175,True,1,1,1,1,1,1,1,0.9191919191919192,0.9191919191919192,1.0
4,8860123,785,_member_of_domain_region,8,5688486,23537,False,24963,35948,16874,16919,31172,23902,,,,
5,8860123,785,_member_of_domain_region,8,5688486,23537,True,27095,40385,14993,15419,36942,27736,1,0.004762931034482758,,
6,2233096,16176,_member_meronym,4,2233338,33688,False,2734,2248,1668,5573,2581,1599,,,,
7,2233096,16176,_member_meronym,4,2233338,33688,True,2816,2207,1269,5950,2672,1984,775,2.7001485081679493e-06,,
8,1371092,18671,_hypernym,0,1352059,11241,False,3,1,8,2,1,2,2,0.029426462833661942,0.02942645103849964,1.000000400835367
9,1371092,18671,_hypernym,0,1352059,11241,True,20,7,68,6,7,11,22,0.02942643391521197,0.029428620150029783,0.9999257105903482
10,2314321,15582,_hypernym,0,8102555,4030,False,2,1,2,1,2,3,1,0.5115775673754164,0.5115753811405985,1.0000042735340644
11,2314321,15582,_hypernym,0,8102555,4030,True,29,16,21,25,40,44,32,0.5115775673754164,0.5115826197464967,0.9999901240368901
12,8621598,19165,_hypernym,0,8620061,2969,False,4433,6070,6513,8509,965,106,41,0.04289278205604089,,
13,8621598,19165,_hypernym,0,8620061,2969,True,4537,6261,6670,8501,1097,155,26,0.0428968578553616,,
14,3239726,16748,_has_part,6,3027250,29001,False,3,2,1,3,2,5,503,4.148516905206389e-06,0.03140096618357488,0.0001321143075965727
15,3239726,16748,_has_part,6,3027250,29001,True,4,1,2,1,4,10,,,0.1057356608478803,
16,12400489,31740,_hypernym,0,12651821,1183,False,1,1,1,1,1,1,1,0.5115753811405985,0.5115753811405985,1.0
17,12400489,31740,_hypernym,0,12651821,1183,True,17,13,11,10,5,44,15,0.5115753811405985,0.5115753811405985,1.0
18,779360,26184,_derivationally_related_form,1,15274695,32091,False,20,4,49,19,8,19,9,0.03374233128834356,0.026932679204652858,1.2528397576767734
