,h,h_id,r,r_id,t,t_id,predicted_head,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,rank_filtered_anyburl,anyburl_confidence_anyburl,anyburl_confidence_kge,difference_psi
0,Stan_Collymore,15833,playsFor,1,England_national_football_team,3098,False,1,1,1,1,1,1,1,0.7101449275362319,0.7101449275362319,1.0
1,Stan_Collymore,15833,playsFor,1,England_national_football_team,3098,True,73,66,54,121,76,48,8,0.7102080854309688,0.7101903820816865,1.0000249276105801
2,Suriname,4065,hasOfficialLanguage,13,Dutch_language,65442,False,6,4,2,5,9,11,7,0.0004950495049504951,0.0005280528052805281,0.9374999999999999
3,Suriname,4065,hasOfficialLanguage,13,Dutch_language,65442,True,67,29,1,90,101,116,,,,
4,Mantorras,47839,playsFor,1,F.C._Alverca,1433,False,2,3,2,2,2,2,1,0.8701298701298701,0.8596491228070176,1.01219188974291
5,Mantorras,47839,playsFor,1,F.C._Alverca,1433,True,1,2,2,1,1,1,4,0.8701350072869773,0.8701632034632034,0.9999675966805838
6,Pablo_Bonells,67943,isAffiliatedTo,2,Club_Celaya,15647,False,1,1,1,1,1,1,1,0.8478802992518704,0.8478802992518704,1.0
7,Pablo_Bonells,67943,isAffiliatedTo,2,Club_Celaya,15647,True,2,2,2,1,3,2,1,0.8479257537973249,0.8479136325852037,1.0000142953381752
8,Jürgen_Habermas,28604,isInterestedIn,24,Political_philosophy,14533,False,1,2,1,1,2,1,1,0.0020901639344262295,0.0020901639344262295,1.0
9,Jürgen_Habermas,28604,isInterestedIn,24,Political_philosophy,14533,True,15,22,5,10,19,21,,,8.19672131147541e-05,
10,Victorio_Cocco,86509,isAffiliatedTo,2,Argentina_national_football_team,164,False,1,1,1,1,1,1,1,0.9260204081632653,0.9260204081632653,1.0
11,Victorio_Cocco,86509,isAffiliatedTo,2,Argentina_national_football_team,164,True,1,1,1,1,1,1,1,0.9260742543171114,0.9260742543171114,1.0
12,Velibor_Vasović,88231,playsFor,1,AFC_Ajax,1542,False,1,1,1,1,3,1,2,0.857566765578635,0.8643617021276596,0.9921387811002054
13,Velibor_Vasović,88231,playsFor,1,AFC_Ajax,1542,True,29,28,30,19,36,32,26,0.8575834322453016,0.8575740473741462,1.000010943511157
14,Telmo_Zarra,71019,diedIn,3,Bilbao,75381,False,9,3,36,2,1,1,4,0.004488778054862843,0.00018696638927915272,24.008475920026523
15,Telmo_Zarra,71019,diedIn,3,Bilbao,75381,True,1050,1104,3898,157,24,65,64,0.004488778054862843,,
16,"Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury",93245,hasGender,7,male,23,False,1,1,1,1,1,1,1,0.8758749899444936,0.8758749899444936,1.0
17,"Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury",93245,hasGender,7,male,23,True,8809,13386,6182,6248,9501,8727,,,,
18,Torbjörn_Nilsson,61033,isAffiliatedTo,2,IFK_Göteborg,950,False,1,1,1,1,1,1,1,0.9137931034482759,0.9137931034482759,1.0
19,Torbjörn_Nilsson,61033,isAffiliatedTo,2,IFK_Göteborg,950,True,1,1,1,1,1,1,2,0.9138264367816092,0.913835960591133,0.9999895782066646
20,"Rosemère,_Quebec",80933,isLocatedIn,0,Quebec,2964,False,3,2,1,3,5,2,1,0.2005147631820449,0.200498753117207,1.0000798511940299
21,"Rosemère,_Quebec",80933,isLocatedIn,0,Quebec,2964,True,200,223,150,198,148,279,176,0.20051476309226934,0.16011281855860351,1.2523342284357961
22,Mark_Blake_(footballer_born_1970),8070,isAffiliatedTo,2,Portsmouth_F.C.,2175,False,1,1,1,1,1,1,1,0.9198396793587175,0.9198396793587175,1.0
23,Mark_Blake_(footballer_born_1970),8070,isAffiliatedTo,2,Portsmouth_F.C.,2175,True,1,1,2,1,1,1,2,0.9198935255125636,0.9198996793587174,0.9999933103073173
24,Tony_Jantschke,87716,playsFor,1,Germany_national_youth_football_team,12933,False,1,1,2,1,1,1,1,0.6988151425234382,0.6988151425234382,1.0
25,Tony_Jantschke,87716,playsFor,1,Germany_national_youth_football_team,12933,True,63,59,51,73,70,64,85,0.6987531172069825,0.6987586034912718,0.9999921485270279
26,Pavel_Košťál,78975,isAffiliatedTo,2,F.C._Hansa_Rostock,7607,False,1,1,1,1,1,1,1,0.8478802992518704,0.8478802992518704,1.0
27,Pavel_Košťál,78975,isAffiliatedTo,2,F.C._Hansa_Rostock,7607,True,5,2,2,8,1,11,7,0.8479202992518704,0.8479219659185371,0.9999980344103188
